selector,num_images,num_image_class,target_vs_other_auroc,target_vs_other_ap,target_vs_bg_auroc,target_at5,other_fg_at5,bg_at5,collision_at5
S0,1449,2147,0.9209640130325152,0.8704156666648727,0.924186346372514,0.7430501781665503,0.0562054791030791,0.2000019842092119,0.0191579520621012
S1,1449,2147,0.5523732554560365,0.5134962267577156,0.541829567998633,0.3219428136323998,0.1334946368221282,0.5436511873841711,0.5167751835937996
S2,1449,2147,0.551989672114529,0.513259877536924,0.5619884626626477,0.3680473669895757,0.1592136762415545,0.4717350150375055,0.5896007533662182
S3,1449,2147,0.4997335076105702,0.487890793011263,0.5476816569868501,0.3675291051611158,0.1874120188146383,0.443956626351929,0.8773119692194605
S4,1449,2147,0.5963218460765377,0.5574638462572021,0.547716732045789,0.3851758345283559,0.0976422918697386,0.5165235007185185,0.0249867147682219
S5,1449,2147,0.8988295634336562,0.8475229367518485,0.8917832826543302,0.7332741433429598,0.0551691039658184,0.2109504308515856,0.0183596464197383
