selector,class_id,class_name,num_image_class,auc_target_bg,ap_target_bg,auc_target_other,ap_target_other,target_bg_mean_margin,target_other_mean_margin,auc_target_all,ap_target_all,target_top01_fraction,other_fg_top01_fraction,bg_top01_fraction,target_top05_fraction,other_fg_top05_fraction,bg_top05_fraction,target_top10_fraction,other_fg_top10_fraction,bg_top10_fraction
S0,0,aeroplane,90,0.9559642050276131,0.8494653155459306,0.9586428473906518,0.9959328879452796,11.632938805251742,14.18739087026282,0.9562239199081056,0.8478419939741925,0.8888888888888888,0.0,0.1111111111111111,0.8468678245432633,0.0,0.151121254279149,0.790020789829495,0.0004444444444444,0.2072375187473791
S0,1,bicycle,79,0.8799730037470768,0.4710536953219751,0.9209763559052851,0.8235154043804314,8.958169162914437,10.892719803195067,0.8848228153118337,0.4468431913860634,0.4810126582278481,0.0379746835443038,0.4810126582278481,0.3666527897471421,0.0495937393427302,0.5820123036459756,0.3181064798444438,0.0600310418964791,0.6206197479697692
S0,2,bird,103,0.9176044063927304,0.7393556458927739,0.9242121285633584,0.803117506938485,8.836129977678521,11.336811657640634,0.9186965954270192,0.7376994395237835,0.8543689320388349,0.029126213592233,0.116504854368932,0.7258258213994032,0.0190400589672434,0.2546486827401492,0.6408178428652603,0.0186156114389031,0.3400749640318326
S0,3,boat,72,0.9241937164292032,0.7241166395109684,0.8239631738382501,0.9492285988067828,8.450086247535333,8.3972793380823,0.9251810633595408,0.7204888322619074,0.8194444444444444,0.0,0.1805555555555555,0.6990632170246067,0.0043391063127905,0.2919601913265879,0.6153833767959979,0.0061364689321051,0.3754426222181697
S0,4,bottle,96,0.9441038263770374,0.7850577442176817,0.9558947629974872,0.788860294913207,10.839348856711704,12.725695858410509,0.9437906100370256,0.7342493174211805,0.71875,0.09375,0.1875,0.578871999378583,0.1912285107222898,0.2287365481111853,0.4934973604247327,0.227675305352579,0.2781122724118985
S0,5,bus,74,0.93497852781179,0.9123949156702116,0.9117964709668158,0.9839768754461988,10.50661152647832,8.862744760566498,0.9368414340049496,0.9107542778184232,0.918918918918919,0.0,0.081081081081081,0.9103569101435388,0.0031458584090163,0.0864972314474448,0.8792368085451977,0.0041832233704318,0.1165799680843705
S0,6,car,127,0.9255506737529412,0.7965869451222883,0.9246036105674386,0.8541442318565261,10.286837356036466,12.055811005859224,0.9321058440880038,0.7817666306166727,0.7795275590551181,0.0551181102362204,0.1653543307086614,0.6049477361433432,0.0660535348061249,0.328801878656831,0.5399134108322222,0.0744367990318944,0.385248550125354
S0,7,cat,119,0.9507800409253389,0.9286020944834332,0.9791304946722084,0.9378943823860432,13.074260677192218,15.09482589165349,0.95361360699541,0.9250726323270472,0.9831932773109244,0.0,0.0168067226890756,0.9448843889052868,0.0073600290318556,0.0477555820628576,0.90958908955831,0.0151829352835229,0.0752279751581673
S0,8,chair,123,0.8572570569317471,0.5909115757323308,0.880470451365639,0.7091277288817263,5.846737340769251,6.182117124241926,0.8763660326310606,0.522893841378338,0.5609756097560976,0.1707317073170731,0.2682926829268293,0.4657114761150856,0.1765769437544148,0.3566091194644958,0.4003981996609085,0.1814776183910466,0.4170462265644288
S0,9,cow,71,0.933069108391536,0.9024641628838912,0.9462264974982144,0.9450974424374552,10.864622715063636,13.555861757672258,0.9354766518017548,0.899239020206188,0.971830985915493,0.0,0.028169014084507,0.9190155100644352,0.0,0.0809844899355648,0.875041535355442,0.0020368364030335,0.1225604870353126
S0,10,diningtable,75,0.8475326019049404,0.7340013217896245,0.8201865396053593,0.7635407238700824,5.367171485067198,5.372457025208656,0.8492100174532423,0.6456221181750724,0.68,0.1866666666666666,0.1333333333333333,0.6790632884502853,0.1380415847466931,0.1821101340180287,0.62268189791188,0.157651714764368,0.2185667130004933
S0,11,dog,128,0.966944638561178,0.9435866318650372,0.9705245637481736,0.9634424897760042,12.946899898329074,15.426442831659918,0.9706165790646132,0.9352293141726744,0.984375,0.0078125,0.0078125,0.9470870909296074,0.0087416609106576,0.044171248159735,0.8981614794179664,0.0175070629928145,0.0842325651841556
S0,12,horse,79,0.9347819427350704,0.8665704910770633,0.9186335549543736,0.9641460398906908,12.56628044186959,13.282017021803142,0.933455905020189,0.8564684291154376,0.9240506329113924,0.0,0.0759493670886076,0.8857185761582832,0.005527119134714,0.1087543047070029,0.8454933863158667,0.0100644768155024,0.1441111886695947
S0,13,motorbike,76,0.9640066459614884,0.936792841024744,0.8341224494193529,0.8772366072490968,11.48892945051475,8.389092583290818,0.9463813107071362,0.8685696727229338,0.8947368421052632,0.0789473684210526,0.0263157894736842,0.8793543908186648,0.0579895965110646,0.0623186307539411,0.8389496380553073,0.0736070767748025,0.0869371568323159
S0,14,person,445,0.943030756784507,0.8597383507099764,0.9528257683762108,0.9097098241595788,11.587755956802532,12.5257388425537,0.951612577265764,0.8346401001069531,0.851685393258427,0.0651685393258427,0.0831460674157303,0.7546922263421812,0.0773803351671477,0.167469357246073,0.686972188072021,0.0883287250696862,0.2241197721434578
S0,15,pottedplant,85,0.910229098565407,0.6573443268812005,0.964454029053837,0.8720801383608545,7.513142589204979,10.838709815724313,0.9202809867059534,0.6500892875962968,0.611764705882353,0.0470588235294117,0.3411764705882353,0.4573348251090495,0.0559260072763988,0.4867391676145516,0.382292956460199,0.063207077059154,0.5541434602417877
S0,16,sheep,57,0.9359248803642908,0.869014347174971,0.9763975269527324,0.9862081250469724,12.228377903126123,19.0484121577988,0.9359833393123131,0.8683892355099183,0.9473684210526316,0.0,0.0526315789473684,0.854766555389824,0.0009233610341643,0.1438484030589293,0.7885429528919834,0.0016158818097876,0.209385403762135
S0,17,sofa,90,0.8536099158315299,0.7479709989528706,0.8521990644271263,0.8032815175783558,6.373270667038804,6.084109005761635,0.8632198221066212,0.7141299536230303,0.8,0.0888888888888888,0.1111111111111111,0.7670260372563004,0.0816108770714033,0.1513630856722962,0.7046544586886915,0.091847643476684,0.2031833488358648
S0,18,train,84,0.9153151537901218,0.8673641042371724,0.8941595555344861,0.9757121772019912,10.853397535867106,15.881533316985076,0.9085918726078752,0.8671073515591158,0.9761904761904762,0.0,0.0238095238095238,0.932855107855108,0.0015262515262515,0.0656186406186406,0.8998519305055424,0.001082251082251,0.0981499149729853
S0,19,tvmonitor,74,0.8894694924175097,0.7352270090432285,0.9734370867984196,0.941672141766208,8.810498587563327,12.155337487753904,0.8940432492329429,0.7303837887680009,0.8378378378378378,0.0135135135135135,0.1486486486486486,0.6827992356619669,0.0253743362029279,0.2877117365204136,0.5810197481580337,0.0385023809894024,0.3775345238885638
S1,0,aeroplane,90,0.567307292878362,0.3090421718555939,0.5815644471151472,0.8426644246831089,0.0871001221409692,0.120539808108497,0.5658294696933421,0.3066556229063572,0.3,0.0333333333333333,0.6666666666666666,0.3544077193638597,0.0239106312790523,0.6205491707246092,0.3320143565134129,0.0249715232194159,0.6409936486213773
S1,1,bicycle,79,0.6798575102747424,0.2682221209653794,0.7163630432801246,0.5203557335320339,0.2420864060359186,0.2903063676957521,0.6725252586366293,0.2268909266765308,0.3037974683544304,0.1645569620253164,0.5316455696202531,0.2201888748684638,0.1463654814812866,0.6321748858838222,0.2072551263320265,0.1526085155767643,0.6391509710009065
S1,2,bird,103,0.4824160401203717,0.2399015567704918,0.4705418685780939,0.3891475122854972,-0.0292538472029246,-0.1130597858144316,0.4811880774689613,0.2360203185419074,0.2912621359223301,0.058252427184466,0.6504854368932039,0.2291792502478501,0.0443337279502328,0.7264870218019173,0.1979198485319688,0.043500134211929,0.758580017256102
S1,3,boat,72,0.513527831433707,0.262056143618501,0.5961378704585018,0.7012351202281494,0.0147174538271071,0.082698005187909,0.5125224353931748,0.2593412777284623,0.3333333333333333,0.0555555555555555,0.6111111111111112,0.2871974290495317,0.0466828260687909,0.6639800250336241,0.2481297447305092,0.0427615031090431,0.7074934278262413
S1,4,bottle,96,0.589680237507792,0.2986236526830685,0.5033537058862336,0.1947786520481606,0.1523251624848419,0.0021379991358224,0.552556619795864,0.2441856446094862,0.2291666666666666,0.3229166666666667,0.4479166666666667,0.2439394770839556,0.2877144405898822,0.467255096983532,0.2375941341522159,0.2965731937613052,0.4651519841998657
S1,5,bus,74,0.371227521346719,0.4470803003258741,0.676784193944238,0.821190215825894,-0.1159459447242085,0.1930139827042298,0.3803923633609437,0.4393706405195058,0.3648648648648648,0.0405405405405405,0.5945945945945946,0.3161135476213713,0.028762831109915,0.6544215021455418,0.3168119149919571,0.024384490864045,0.6582792844091617
S1,6,car,127,0.4447103145541817,0.306868695856537,0.4720695436231009,0.375898235530505,-0.029963991314784,0.0161309948541343,0.4557336132550129,0.2788909511664188,0.1889763779527559,0.2204724409448819,0.5826771653543307,0.1939410163386906,0.1876988622088692,0.6177541622783085,0.2081633138396298,0.1856507017389421,0.6054739956909531
S1,7,cat,119,0.7912542168049912,0.6784642582296706,0.7713654973549448,0.5967854549255901,0.5583444758557949,0.4502941501658669,0.7961190101942921,0.6586291651692646,0.6386554621848739,0.0672268907563025,0.2941176470588235,0.6747298698822172,0.057830816894512,0.2669666241476407,0.6863029741710812,0.0539280041933535,0.2589925995991045
S1,8,chair,123,0.4559719830619987,0.1925179202382265,0.4555295724186178,0.3313225780568192,-0.020567089932281,-0.0286135733910898,0.4632500448061418,0.1501080468849051,0.1300813008130081,0.3089430894308943,0.5365853658536586,0.1214938683766208,0.2930029682148726,0.5832828762074747,0.1129708387928341,0.282230444827572,0.602625076338518
S1,9,cow,71,0.3318266678091817,0.3159950694758527,0.4378204276770533,0.494833517355851,-0.2243883483788239,-0.0950409374738499,0.3354564598851669,0.3090300133831579,0.2676056338028169,0.0422535211267605,0.6901408450704225,0.2075531288695724,0.0413501090691166,0.7510967620613109,0.2193499728109373,0.0366648424837464,0.7438046141022104
S1,10,diningtable,75,0.5870640010860094,0.4001743311261284,0.5553167943272214,0.4901930526731284,0.0698635493372965,0.0164250702287678,0.5758167758085402,0.3011698851699339,0.3866666666666666,0.3733333333333333,0.24,0.2889372005641354,0.3263064677344863,0.3840545773154132,0.2886364558783399,0.3074714145541249,0.4033703122036123
S1,11,dog,128,0.576978419611753,0.4841942095729761,0.5528302908298176,0.5312977018341628,0.1044697147385541,0.0822863059113193,0.5739080372149302,0.4549560092166288,0.578125,0.1171875,0.3046875,0.5090536540889363,0.1080175048796553,0.3825382160314082,0.4843227057125041,0.1043513037663814,0.4109252494019461
S1,12,horse,79,0.549684088184922,0.3605723928305838,0.5695247653262147,0.7550742319196766,0.0806172302790626,0.0881980258497947,0.5473587207761681,0.3442364091411887,0.3037974683544304,0.050632911392405,0.6455696202531646,0.2781360628296004,0.0695312118863085,0.6513590154496218,0.2823779925859268,0.0570116741309674,0.6596281930604592
S1,13,motorbike,76,0.3954841640264346,0.3112299248102688,0.5239450533011725,0.6427684664093017,-0.141006490138287,0.0120825835321901,0.4005180066312233,0.2744811256665427,0.1184210526315789,0.0921052631578947,0.7894736842105263,0.1659811740928329,0.1021002765340389,0.730569021707811,0.182253549015758,0.0988186628172359,0.7179112608346891
S1,14,person,445,0.5551980036453562,0.4033734647114554,0.5242431853028556,0.5316477786899734,0.1149793256945385,0.0567347085853734,0.5542964995117975,0.3525011103236454,0.4719101123595505,0.146067415730337,0.3775280898876405,0.3936188535742905,0.1633041491403867,0.4420802232629722,0.3631115982276435,0.1726632037154187,0.4633758299548514
S1,15,pottedplant,85,0.697204555452294,0.3563385124876139,0.6586548062351577,0.3922716711293553,0.3123288450551496,0.2546855783449159,0.6933307220868782,0.3282667950897313,0.3176470588235294,0.1176470588235294,0.5647058823529412,0.2821686416495664,0.1764103728536436,0.5403403259602478,0.2685333640436423,0.1798635852719338,0.5505620865919891
S1,16,sheep,57,0.3855905657308709,0.2863262894609312,0.4406612749552263,0.5385432326678788,-0.1277765651232619,-0.0420005865792328,0.386854052440545,0.2852050318319861,0.4035087719298245,0.0,0.5964912280701754,0.2765234885733501,0.0027345692165636,0.7198304191378984,0.2603193218162186,0.0038769325472926,0.7353419851747284
S1,17,sofa,90,0.5779272963654539,0.3573924700833118,0.5822638286243758,0.5788315315206364,0.1054343480702588,0.1030916474476473,0.5595759508911421,0.3226725254757596,0.3222222222222222,0.1777777777777777,0.5,0.2866384499750083,0.1685462875381606,0.5438051614767301,0.2818258972988725,0.1758044932752101,0.5415484976673055
S1,18,train,84,0.4383296410324379,0.3623192475780135,0.5094790384772605,0.7224016408173967,-0.0609414664672978,0.0022270605829481,0.4394826031200014,0.3667746076024513,0.3452380952380952,0.0357142857142857,0.6190476190476191,0.2977251904883484,0.0278374890216995,0.6741320701847018,0.2983568497923164,0.022923979253688,0.6781086703434949
S1,19,tvmonitor,74,0.735017683606536,0.4358419445356007,0.7299438137870512,0.6157602545754178,0.3454067693184557,0.4115863217360641,0.733093159852659,0.4237186728819915,0.4324324324324324,0.081081081081081,0.4864864864864865,0.3931424024418334,0.1168420362588214,0.4893225606063444,0.3769191956567983,0.1119074794313355,0.5096117663882823
S2,0,aeroplane,90,0.5831338098935686,0.3436986829666346,0.5780731436421543,0.8408767408274609,173.59043764602626,322.4916108576811,0.5814641883069998,0.3406937084307138,0.3555555555555555,0.0333333333333333,0.6111111111111112,0.4274079873202681,0.0297585844954266,0.5402581331090103,0.3952401912106867,0.0277713356901144,0.5746812511666545
S2,1,bicycle,79,0.7248483327043994,0.3308740071593971,0.7172814350979858,0.5070459274351253,522.6019077408024,512.0312455084063,0.7139388230738805,0.2770852492049567,0.3037974683544304,0.189873417721519,0.5063291139240507,0.2816548940059816,0.1768522843854975,0.5402220638420936,0.2549354713673155,0.1767771142248423,0.56746858294712
S2,2,bird,103,0.4839514433039218,0.2666378262059746,0.4800836371330758,0.4087388306710853,121.66544595719968,308.72590634852884,0.4829297552262405,0.2629644229904562,0.3980582524271844,0.058252427184466,0.5436893203883495,0.28689170258856,0.0409255315808713,0.6721827658305688,0.2392688984353522,0.0432911406776928,0.7174399608869549
S2,3,boat,72,0.5240597105795495,0.2991218536358341,0.5943842830994251,0.7007345556674489,173.62525451322236,150.63575726901323,0.5232612218995099,0.295560880463256,0.4444444444444444,0.0972222222222222,0.4583333333333333,0.3340330207203532,0.0558286585698866,0.6072863501494562,0.2799663266463287,0.0480276478441047,0.6700368297771852
S2,4,bottle,96,0.5948316316062735,0.3157079620586882,0.5044726837775902,0.1958689363754873,354.0452797274194,65.5090393277092,0.5571939786448014,0.2564342605010973,0.25,0.3020833333333333,0.4479166666666667,0.2619241705747685,0.3198816470871198,0.4173702910125755,0.2550370278699421,0.3206796123019756,0.4236026719414691
S2,5,bus,74,0.4098680668789642,0.4749389868582788,0.6901834762518894,0.8204843731591426,-120.6169955219798,317.29431664241,0.4202357942388693,0.4671794708468466,0.3918918918918919,0.0675675675675675,0.527027027027027,0.3960309691461896,0.0427159638575001,0.5602044475266381,0.3955736569613354,0.0296100173749308,0.5734301511429822
S2,6,car,127,0.4854174169597374,0.3371758204187859,0.4777765851617625,0.3840328588243035,84.20201878136508,137.1823862573318,0.4924418127796477,0.309448034057291,0.2362204724409448,0.2519685039370078,0.5118110236220472,0.2497375163351126,0.2232422835498089,0.5260104452615605,0.2556579471823854,0.2186033240040077,0.5248274987939608
S2,7,cat,119,0.8248618384937716,0.7446160983839699,0.7874670509085191,0.6235724341780183,1457.1318967020045,969.5344582283872,0.8278429241527918,0.7225886545745746,0.7983193277310925,0.0504201680672268,0.1512605042016806,0.7914514282017935,0.0550339721472028,0.1528264397716673,0.7776533994308057,0.0538444124486872,0.1677244023447821
S2,8,chair,123,0.4550471228762506,0.1968831162008335,0.4546137783164883,0.3306934160618707,53.13673257040886,79.33340335584636,0.4624619337618649,0.1530022475847886,0.1544715447154471,0.4065040650406504,0.4227642276422764,0.121813687654692,0.3411153647622914,0.5350970264820093,0.1173246079195344,0.3203084230085639,0.5600877435593868
S2,9,cow,71,0.2908385480894614,0.3042974798896019,0.4324067445248132,0.4927292539789017,-349.06554824709593,-154.75082999526495,0.2960303103397637,0.2977011660685533,0.2535211267605634,0.056338028169014,0.6901408450704225,0.2011193262098071,0.0453511734853033,0.7535295003048895,0.209587363580887,0.0392142476128402,0.7510178182031668
S2,10,diningtable,75,0.6068697253221839,0.4168922189706434,0.5437356096613454,0.4665525661902014,20.320362106266785,-48.833800075485264,0.583114603753175,0.3005433191402507,0.2666666666666666,0.48,0.2533333333333333,0.2760613773632349,0.3884871956822421,0.334749672568558,0.286705967893241,0.3533239274149998,0.3592705095500588
S2,11,dog,128,0.6197060104787621,0.5346466325669261,0.5678498909593583,0.5447942887518556,331.1880415078198,221.7757042341303,0.6135943788841423,0.5001402108528997,0.640625,0.140625,0.21875,0.5803261998142589,0.1153974954910398,0.3040809921947012,0.5462076879138854,0.1124267673978961,0.3408646433126397
S2,12,horse,79,0.5623645240085066,0.3814628307393231,0.5661942311247312,0.75281273146945,229.7614240410489,199.9808850243066,0.5595188838919867,0.3628659671600011,0.379746835443038,0.1139240506329113,0.5063291139240507,0.3351278365435594,0.0849740774957297,0.5789243761262416,0.3365616074588695,0.0671483367603485,0.5951456305857239
S2,13,motorbike,76,0.4335871572374564,0.3440797077215249,0.5193715056784797,0.6401426807526944,-149.84272518169809,0.494490010365906,0.4335251797831365,0.3002264794917464,0.1973684210526315,0.1447368421052631,0.6578947368421053,0.2479355777638733,0.1449470790873349,0.606105197399804,0.2610849920856157,0.1293028984409483,0.6084268911829545
