selector,num_images,num_image_class,auc_target_other,ap_target_other,auc_target_bg,ap_target_bg,target_top05_fraction,other_fg_top05_fraction,bg_top05_fraction,pair_jaccard_top05
S0,522,1220,0.9209640130325152,0.8704156666648727,0.9206564377610995,0.777277884131496,0.6446120961161327,0.09891242920845164,0.2557288729333437,0.01915795206210126
S1,522,1220,0.5523732554560365,0.5134962267577157,0.5306487054326202,0.31123397766262906,0.23291629462028135,0.23492867644025348,0.5310319747515381,0.5167751835937995
S2,522,1220,0.5519896721145289,0.5132598775369241,0.5557403279082337,0.3404517838498687,0.2628529231028785,0.28018996958247344,0.45575707373567786,0.5896007533662183
S3,522,1220,0.4997335076105701,0.48789079301126315,0.5258694492111541,0.3290282258071211,0.2536159430977367,0.3298144298319906,0.41521707943456065,0.8773119692194605
S4,522,1220,0.5963218460765377,0.5574638462572021,0.5325774959231414,0.34422379930281227,0.29392959743546804,0.17183442675764662,0.533600946111243,0.024986714768221903
S5,522,1220,0.8988295634336562,0.8475229367518485,0.8881695262795007,0.7439241422943605,0.6342025216404595,0.09708857886443623,0.26804796868857383,0.01835964641973831
