graph,quadrant,region,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
B3_spatial_feature,Q1_highR_highS,boundary_near,quadrant_fraction,0.2150956838376442,0.20519764205894642,0.22531780565481005,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q2_highR_lowS,target,quadrant_fraction,0.5888981610261165,0.5730708459055238,0.6040812779901262,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q2_highR_lowS,other_fg,quadrant_fraction,0.06293926750115901,0.056228672830302466,0.06963577914695047,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q2_highR_lowS,background,quadrant_fraction,0.347303353422964,0.3320596386209565,0.3629998959490235,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q2_highR_lowS,boundary_near,quadrant_fraction,0.3272755370112811,0.3180673105634637,0.33636927614386286,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q3_lowR_highS,target,quadrant_fraction,0.05665672689001929,0.05072416197573713,0.06311774280333018,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q3_lowR_highS,other_fg,quadrant_fraction,0.20605843368440319,0.18927355864797582,0.22281649457729924,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q3_lowR_highS,background,quadrant_fraction,0.7369263973521045,0.7192699289808274,0.7545978076647138,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q3_lowR_highS,boundary_near,quadrant_fraction,0.1408524820206981,0.13360164234228625,0.14822791346513225,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q4_lowR_lowS,target,quadrant_fraction,0.09753882692621138,0.08931477868711302,0.10609768420606665,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q4_lowR_lowS,other_fg,quadrant_fraction,0.18001257363727385,0.16481644604140186,0.19476627093564702,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q4_lowR_lowS,background,quadrant_fraction,0.7220721664687483,0.7057562299979045,0.7382786899662033,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,Q4_lowR_lowS,boundary_near,quadrant_fraction,0.1744475749179221,0.16666264832485994,0.1822133941192298,1449,1449,5000,5000,20260901,whole image
