graph,score,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,stability,micro,shared_background_fraction,0.6244988804325334,0.5933979865516859,0.6560649033997566,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,micro,shared_other_foreground_fraction,0.11176595952343463,0.09290710577726947,0.130437766183119,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,micro,dominant_object_capture,0.2393874897856723,0.21957931824949126,0.25984446412821705,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,stability_spearman,0.13896754011958648,0.12959592063809564,0.14974609450127355,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,top10_jaccard,0.060621506108541307,0.05872478557416412,0.06273722455971545,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,top20_jaccard,0.1289194770874244,0.1266908095603285,0.13137736183855225,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,shared_target_either_fraction,0.2553660808406613,0.23225316950631392,0.28155657950433755,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,shared_background_fraction,0.6506513256824575,0.6167660975487201,0.6838489009111188,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,shared_other_foreground_fraction,0.09378547168857786,0.07200032101028798,0.1142194089841462,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,macro_class,dominant_object_capture,0.23181712862463227,0.2102250702484594,0.2562730863820009,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,stability_spearman,-0.2139951669094466,-0.23753798723317252,-0.19079716544235958,477,522,797,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,top10_jaccard,0.037436119087062535,0.029999082944049016,0.04571276632101284,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,top20_jaccard,0.08617698563310171,0.07550750690067756,0.09748505789244549,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,shared_target_either_fraction,0.531028468923346,0.4729933245765822,0.5896778420847408,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,shared_background_fraction,0.436108103134137,0.3771075093876939,0.4938302414547369,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,shared_other_foreground_fraction,0.03147648466543964,0.013414116154642396,0.05416124584812208,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,micro,dominant_object_capture,0.4924125630617265,0.4356853192704196,0.5480067476111248,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,stability_spearman,-0.2731656785669076,-0.30705411700010155,-0.23616651374348321,477,522,797,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,top10_jaccard,0.03475897173047907,0.024555550597870696,0.04550321153780897,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,top20_jaccard,0.08004714517506961,0.06576020018877747,0.09356142454872911,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,shared_target_either_fraction,0.4538930849006152,0.39632339937936134,0.5436817849781785,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,shared_background_fraction,0.522170632551757,0.4307617648614345,0.5773344315159747,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,shared_other_foreground_fraction,0.02247151005468654,0.009648748294445482,0.04075077829840511,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B2_feature,relevance,macro_class,dominant_object_capture,0.4282309052938456,0.37152234519823535,0.5156188748197484,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,stability_spearman,-0.19009090581352414,-0.2118581995345386,-0.16871770651183457,477,522,797,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,top10_jaccard,0.04108855622109525,0.03422346414891159,0.04850118053640696,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,top20_jaccard,0.09106569287926236,0.08141986576705762,0.10159031235237016,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,shared_target_either_fraction,0.5168875850709929,0.4683897522807403,0.5652986504553643,293,522,419,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,shared_background_fraction,0.45209796499545324,0.4015409355417743,0.5035595838304681,293,522,419,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,shared_other_foreground_fraction,0.02997903612964377,0.016067395357293,0.04576724093728563,293,522,419,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,micro,dominant_object_capture,0.48086851622786964,0.4341128946540065,0.5278844507362073,293,522,419,906,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,stability_spearman,-0.24584514653294617,-0.2783845326351102,-0.21025362001787254,477,522,797,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,top10_jaccard,0.037419464532284695,0.027996572259011428,0.04808334756517708,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,top20_jaccard,0.08658566036630215,0.07280930651533155,0.09973577620388543,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,shared_target_either_fraction,0.4668068322389486,0.4112489327926368,0.5373675604398148,293,522,419,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,shared_background_fraction,0.5116110836140801,0.43954577836816766,0.5676817807605864,293,522,419,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,shared_other_foreground_fraction,0.020890858161627657,0.010726400001623492,0.03266709927019416,293,522,419,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,macro_class,dominant_object_capture,0.4399262651316154,0.3853240163387197,0.5070605469276442,293,522,419,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,stability_spearman,0.13190927246540507,0.12456192131876712,0.13972568267386146,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,top10_jaccard,0.061341985469621246,0.059933997655923124,0.0627346575147483,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,top20_jaccard,0.12797789936880352,0.1263476615265362,0.1296467638584784,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,shared_target_either_fraction,0.26754285919897525,0.24573707926699367,0.29013336987977956,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,shared_background_fraction,0.6231546622518577,0.5918957846346222,0.6543305731172919,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,shared_other_foreground_fraction,0.10845714409456134,0.0897722190710086,0.12711513337735372,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,micro,dominant_object_capture,0.24400439128964657,0.22429255066501544,0.2650517154324526,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,stability_spearman,0.13994998601031014,0.13092683993872287,0.15035449904993525,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,top10_jaccard,0.061812808757230775,0.06001643817287054,0.06372991994972156,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,top20_jaccard,0.1288401897873205,0.12661060351687098,0.1312851196847401,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,shared_target_either_fraction,0.26905313762742294,0.24545139481420072,0.29530029331959423,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,shared_background_fraction,0.6387289845607862,0.6048852011081682,0.6729680310459419,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,shared_other_foreground_fraction,0.09164991454998421,0.06975191385698828,0.11238693658556353,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B2_feature,stability,macro_class,dominant_object_capture,0.24608019292503844,0.2234676286641289,0.2710586179091576,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,stability_spearman,-0.2139951669094466,-0.23753798723317252,-0.19079716544235958,477,522,797,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,top10_jaccard,0.037436119087062535,0.029999082944049016,0.04571276632101284,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,top20_jaccard,0.08617698563310171,0.07550750690067756,0.09748505789244549,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,shared_target_either_fraction,0.531028468923346,0.4729933245765822,0.5896778420847408,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,shared_background_fraction,0.436108103134137,0.3771075093876939,0.4938302414547369,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,shared_other_foreground_fraction,0.03147648466543964,0.013414116154642396,0.05416124584812208,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,micro,dominant_object_capture,0.4924125630617265,0.4356853192704196,0.5480067476111248,196,522,263,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,stability_spearman,-0.2731656785669076,-0.30705411700010155,-0.23616651374348321,477,522,797,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,top10_jaccard,0.03475897173047907,0.024555550597870696,0.04550321153780897,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,top20_jaccard,0.08004714517506961,0.06576020018877747,0.09356142454872911,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,shared_target_either_fraction,0.4538930849006152,0.39632339937936134,0.5436817849781785,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,shared_background_fraction,0.522170632551757,0.4307617648614345,0.5773344315159747,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,shared_other_foreground_fraction,0.02247151005468654,0.009648748294445482,0.04075077829840511,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,macro_class,dominant_object_capture,0.4282309052938456,0.37152234519823535,0.5156188748197484,196,522,263,906,16,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,stability_spearman,-0.1896258710982221,-0.2113141191436936,-0.16829353576105352,477,522,797,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,top10_jaccard,0.04073064478675443,0.03389026197465767,0.048121794774551974,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,top20_jaccard,0.09051131328950109,0.08086403421691893,0.10097829592341756,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,shared_target_either_fraction,0.5221121542798971,0.4749041905781326,0.5685419170679198,291,522,416,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,shared_background_fraction,0.44757238923401965,0.40014404783277446,0.49778697646105796,291,522,416,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,shared_other_foreground_fraction,0.029210530710104907,0.01555227996464139,0.04479510031887736,291,522,416,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,micro,dominant_object_capture,0.48472332756997816,0.43974813730491397,0.5293342562109249,291,522,416,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,stability_spearman,-0.24536873202520018,-0.27790626981433303,-0.20977538729159695,477,522,797,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,top10_jaccard,0.03713208621420566,0.027643456309900727,0.04773536071730892,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,top20_jaccard,0.08606709694002962,0.07234513739443285,0.0991739394222516,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,shared_target_either_fraction,0.46672037487716506,0.41049171464625733,0.5404796264855294,291,522,416,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,shared_background_fraction,0.5109006625581417,0.4367819861161549,0.5686729938258734,291,522,416,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,shared_other_foreground_fraction,0.021570458776313237,0.010934751442528218,0.033695565197003265,291,522,416,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,macro_class,dominant_object_capture,0.43917072269674823,0.3840107778587079,0.510793577767763,291,522,416,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,stability_spearman,0.12858449418138346,0.12132463321922109,0.13632601878661907,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,top10_jaccard,0.06090959589080242,0.05941451318661533,0.062371909514564464,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,top20_jaccard,0.12690749530554998,0.1252486797736598,0.12859387129731248,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,shared_target_either_fraction,0.27442182235228574,0.2527760271579277,0.2972387652780009,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,shared_background_fraction,0.6154699650974481,0.584918724281485,0.6455029710133349,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,shared_other_foreground_fraction,0.10956330430668178,0.09091693904977902,0.1283700394973318,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,micro,dominant_object_capture,0.25121731346896914,0.23144547385406236,0.27240803015790244,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,stability_spearman,0.13721291205819963,0.12807011557661319,0.14771518727758556,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,top10_jaccard,0.06054306264887627,0.05853163952669826,0.06269900350563345,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,top20_jaccard,0.12814087900314827,0.1260043029767585,0.1305489473152811,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,shared_target_either_fraction,0.2733575412976409,0.24988199399736613,0.30020216956464957,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,shared_background_fraction,0.63038104985668,0.5977744179448135,0.6630056338136421,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,shared_other_foreground_fraction,0.09598343599469106,0.07372172506459909,0.11751398462844329,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,stability,macro_class,dominant_object_capture,0.2505637121777554,0.22940821897391425,0.27509832182847344,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
