graph,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,relevance_x_stability,positive,micro,mean_score,0.15462279987434246,0.14952436415887949,0.15957924708494112,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,micro,top10_mean_score,0.4218598865045142,0.41240975923995393,0.43155390048825665,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,micro,max_score,0.6799642291881729,0.669589262078329,0.6900263846021308,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,micro,spatial_entropy,0.7503391634294291,0.7397443164596234,0.7604091295439704,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,micro,high_score_fraction,0.003678117166911986,0.0033480861087897707,0.004012074356202944,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,macro_class,mean_score,0.15953867039783076,0.15514419995816156,0.1639774750830773,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,macro_class,top10_mean_score,0.43071202648797124,0.4220957794832443,0.4394115928989545,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,macro_class,max_score,0.6846553398309577,0.6745095544218938,0.6945010602042134,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,macro_class,spatial_entropy,0.7596827917283008,0.7493711379509971,0.7698535109785175,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,relevance_x_stability,positive,macro_class,high_score_fraction,0.0037007119547353127,0.003389603361822301,0.0040056911434824816,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,micro,mean_score,0.5283120407680346,0.5279508087120246,0.5286929189818148,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,micro,top10_mean_score,0.9191108568650809,0.9189066957061885,0.9193203519197571,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,micro,max_score,0.9976534359241773,0.9976228397786367,0.9976840262041009,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,micro,spatial_entropy,0.9258051765671605,0.9256540656305855,0.9259570042537465,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,micro,high_score_fraction,0.13981901617898806,0.13943347179305818,0.14021942890780037,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,macro_class,mean_score,0.5283363801470443,0.5279768519134552,0.5287177364774321,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,macro_class,top10_mean_score,0.9190927087788099,0.9188886040245492,0.9193011907958306,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,macro_class,max_score,0.9976534893036699,0.9976227207105487,0.9976839028861691,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,macro_class,spatial_entropy,0.9257908547662128,0.9256407092605177,0.9259423441445632,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B1_spatial,stability,absent,macro_class,high_score_fraction,0.13977785771346646,0.1393928516896969,0.14017880481263248,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
