graph,lambda,score,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,relevance,all_positive_classes,all,micro,bg_mean,0.20436261400279385,0.19656831153001122,0.2117839580920338,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,micro,target_median,0.6526446172246747,0.6415087293814772,0.6639248353144449,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,micro,other_fg_median,0.07072022617741618,0.06143180709787687,0.08092088346107747,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,micro,bg_median,0.17693644517352355,0.16828835065150174,0.18523356513235614,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_hit,0.8242768666621043,0.8073163899705953,0.8409962987623194,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,other_fg_hit,0.03147304975326824,0.02430665691847817,0.038897761390749304,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,background_hit,0.107142149358132,0.09359685468150476,0.12092528141464969,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_top05_fraction,0.7408556735672402,0.7255548410296325,0.755486740803427,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,other_fg_top05_fraction,0.03956972383529304,0.03433787722846712,0.04461633901458546,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,bg_top05_fraction,0.2186069676994257,0.2046939491853325,0.2331529999742243,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_tail_enrich_05,6.139473500262512,5.869208467902619,6.406357978797216,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,other_fg_tail_enrich_05,0.4013475809048357,0.2827253347571964,0.5624218564657301,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,bg_tail_enrich_05,0.3549512440095174,0.3248339965538314,0.39116624675907213,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_top10_fraction,0.6793379384206585,0.6639475741411278,0.6944133276939343,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,other_fg_top10_fraction,0.044166472763615496,0.03909940597674765,0.049157658577977215,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,bg_top10_fraction,0.275653412572029,0.2607783335456655,0.2906701738259321,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_tail_enrich_10,4.5997368839864405,4.452235077461124,4.740385029174144,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,other_fg_tail_enrich_10,0.3842005955236852,0.30398433264083047,0.48031124887501686,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,bg_tail_enrich_10,0.4359041885892746,0.40532740989310184,0.4713638024141819,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,relevance,all_positive_classes,all,macro_class,target_top20_fraction,0.5870583017852689,0.5715013466736344,0.602787732042104,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
