row_type,graph,relevance_quintile,stability_level,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
paired_high_minus_low,B1_spatial,3,high_minus_low,target_probability,-0.021614412393713367,-0.0332096825135592,-0.009858436546470012,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B1_spatial,3,continuous,stability_auc_target_bg,0.4708408238337815,0.46100073700225713,0.4802537685585488,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_ap_target_bg,0.4232743850686946,0.40419780369516467,0.4420198541069056,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_auc_target_other,0.4705329919233235,0.4522831981988534,0.4889259877867151,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_ap_target_other,0.5645598840958729,0.5391927339327393,0.5901815014020362,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_auc_target_bg,0.472254681118911,0.46177208182372653,0.48270166205880327,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_ap_target_bg,0.41359482415233934,0.3945992590936331,0.4332479171425555,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_auc_target_other,0.4754018378236421,0.4284988606849473,0.5209839610429384,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,3,continuous,stability_ap_target_other,0.5732351502288171,0.5166668126488763,0.6256857330347123,310,1449,5000,5000,3021694564,
target_rate,B1_spatial,4,high,target_probability,0.5654179963007379,0.5460217311630697,0.5843012788518883,1449,1449,5000,5000,20260901,whole image
target_rate,B1_spatial,4,low,target_probability,0.6118781957066264,0.5960825046246148,0.6272884195004678,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B1_spatial,4,high_minus_low,target_probability,-0.046460199405888525,-0.059175836628316394,-0.03378319574731485,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B1_spatial,4,continuous,stability_auc_target_bg,0.4208895636443066,0.41054228427848327,0.4310915135289008,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_ap_target_bg,0.5554545069822645,0.5374790724090737,0.5729662069359374,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_auc_target_other,0.38059348628839534,0.3644084683432569,0.3962383684966862,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_ap_target_other,0.6362015050158886,0.6123585572710646,0.6598421620029671,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_auc_target_bg,0.434921299456537,0.4237969936167664,0.4459548312595204,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_ap_target_bg,0.5715885889013169,0.5534851006266915,0.589911005081836,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_auc_target_other,0.3773341048771955,0.34756718486898713,0.4155444153903348,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B1_spatial,4,continuous,stability_ap_target_other,0.706020314814332,0.6638084354756246,0.7440060374920227,384,1449,5000,5000,3021694564,
target_rate,B2_feature,0,high,target_probability,0.04037598441866373,0.034497262194766176,0.04658404853568941,1449,1449,5000,5000,20260901,whole image
target_rate,B2_feature,0,low,target_probability,0.08448025495714304,0.07570136669005892,0.09347504199500761,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B2_feature,0,high_minus_low,target_probability,-0.044104270538479304,-0.0511416069250237,-0.03720847642735764,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B2_feature,0,continuous,stability_auc_target_bg,0.3314259790883357,0.31680508010245184,0.3459636974574712,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_ap_target_bg,0.15693411369288612,0.14219303715878157,0.1724476564837472,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_auc_target_other,0.4502405204118212,0.4245336116231461,0.4762413684354293,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_ap_target_other,0.3325237805367473,0.29931560961750664,0.36722828694098403,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_auc_target_bg,0.3336159522068276,0.316982610844245,0.35041529099206004,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_ap_target_bg,0.1627406566635849,0.14566581581241364,0.18043496358465141,718,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_auc_target_other,0.48285916417742786,0.43053945065873994,0.5310571913436911,256,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,0,continuous,stability_ap_target_other,0.38927039722660395,0.33064282419584906,0.4416531756921212,256,1449,5000,5000,3021694564,
target_rate,B2_feature,1,high,target_probability,0.06994420523612399,0.0624480465356969,0.07776071253274505,1449,1449,5000,5000,20260901,whole image
target_rate,B2_feature,1,low,target_probability,0.15713687894696796,0.1444527023008059,0.17001221956627705,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B2_feature,1,high_minus_low,target_probability,-0.08719267371084397,-0.09598588854401831,-0.07863704469690062,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B2_feature,1,continuous,stability_auc_target_bg,0.3588768653398869,0.3472460324732952,0.3707970493541919,939,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_ap_target_bg,0.20599494070471355,0.1908255399355621,0.2214594331015549,939,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_auc_target_other,0.4298975711626027,0.40590009351085016,0.4545014333387417,288,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_ap_target_other,0.3799794182658133,0.34662058778900634,0.4140679267774025,288,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_auc_target_bg,0.3577459423268855,0.34495382483684506,0.37112068297193956,939,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_ap_target_bg,0.20856151660853567,0.1922840543836764,0.22528698366615438,939,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_auc_target_other,0.4282334518579999,0.38721383486915706,0.47475821674443786,288,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,1,continuous,stability_ap_target_other,0.4083436158781256,0.36532464897303774,0.4524578275357295,288,1449,5000,5000,3021694564,
target_rate,B2_feature,2,high,target_probability,0.15751835060449051,0.1449458603134727,0.17011844896213643,1449,1449,5000,5000,20260901,whole image
target_rate,B2_feature,2,low,target_probability,0.23161016949152544,0.2165663134037458,0.24650647485896965,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B2_feature,2,high_minus_low,target_probability,-0.07409181888703492,-0.08393754588206316,-0.06422880107257144,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B2_feature,2,continuous,stability_auc_target_bg,0.40783637783591065,0.3978620032126051,0.41787965868742966,1112,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_ap_target_bg,0.2966872669876635,0.27844151591553196,0.31473033392910427,1112,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_auc_target_other,0.46253722669054415,0.4412096727780588,0.4836031501070257,312,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_ap_target_other,0.48801637806911624,0.45756238008213995,0.5189139141159292,312,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_auc_target_bg,0.4050895785538242,0.3939800917309868,0.4161132254088361,1112,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_ap_target_bg,0.28623126338637905,0.26812159788200074,0.3041863074038994,1112,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_auc_target_other,0.4604878587333975,0.420850758969405,0.4941367864999477,312,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,2,continuous,stability_ap_target_other,0.502908759052242,0.4442864906681966,0.5576037044970459,312,1449,5000,5000,3021694564,
target_rate,B2_feature,3,high,target_probability,0.3217030411449016,0.30406717807964223,0.3389461198576415,1449,1449,5000,5000,20260901,whole image
target_rate,B2_feature,3,low,target_probability,0.34141887865915777,0.32508232778225615,0.3577054812949382,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B2_feature,3,high_minus_low,target_probability,-0.01971583751425615,-0.031279264613098635,-0.00807268748309837,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B2_feature,3,continuous,stability_auc_target_bg,0.47317663675154936,0.46362429030978547,0.48230309055932585,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_ap_target_bg,0.42318101760118815,0.4042172924318368,0.44204713631853754,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_auc_target_other,0.4763877354791232,0.4582960912146787,0.49476860987606214,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_ap_target_other,0.563833773056016,0.5377503888153607,0.5899638967302969,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_auc_target_bg,0.4735636426261495,0.4631973496023915,0.4838508348722494,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_ap_target_bg,0.4129619293748073,0.39397237064808416,0.4326308730063702,1175,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_auc_target_other,0.4868715272345766,0.4447436003760985,0.5279550890290355,310,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,3,continuous,stability_ap_target_other,0.5752478817575513,0.5175484219304556,0.6285663354535058,310,1449,5000,5000,3021694564,
target_rate,B2_feature,4,high,target_probability,0.5724344058412902,0.5533338115046449,0.5912562559857606,1449,1449,5000,5000,20260901,whole image
target_rate,B2_feature,4,low,target_probability,0.6014851485148515,0.5858736787237295,0.6167997240733374,1449,1449,5000,5000,20260901,whole image
paired_high_minus_low,B2_feature,4,high_minus_low,target_probability,-0.029050742673561225,-0.04195449052639721,-0.016441220038074248,1449,1449,5000,5000,20260901,whole image
within_relevance_band_auc,B2_feature,4,continuous,stability_auc_target_bg,0.43170660439060254,0.4212918867708689,0.44207119934721184,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_ap_target_bg,0.5578601821473179,0.5398549788852397,0.5753758845174737,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_auc_target_other,0.39342440935116796,0.3770072002190497,0.4096176718443483,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_ap_target_other,0.6402129413858919,0.6164963137557194,0.6639701679919413,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_auc_target_bg,0.4437386550292051,0.43234359219293295,0.4548253351555741,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_ap_target_bg,0.5732914333199032,0.5549274418283356,0.5916875424054158,1165,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_auc_target_other,0.3890399462902089,0.35930998798766606,0.42788914203176714,384,1449,5000,5000,3021694564,
within_relevance_band_auc,B2_feature,4,continuous,stability_ap_target_other,0.710096397266545,0.668426478104007,0.747775590514869,384,1449,5000,5000,3021694564,
