comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,micro,bg_tail_enrich_05,0.17320358116945914,0.13905798412725093,0.2039625627688509,369,375,738,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,micro,auc_target_bg,-0.07145009817691035,-0.07873645904964464,-0.06482083660663217,367,375,683,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,micro,auc_target_other,-0.03704122656643173,-0.046052352346552236,-0.029289072024554722,322,375,644,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,micro,ap_target_bg,-0.18960458221488102,-0.2076082371184329,-0.17150587702508122,367,375,683,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,micro,ap_target_other,-0.06647501371640607,-0.07661706610737479,-0.05626913347462156,322,375,644,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,target_hit,-0.10590956296119339,-0.14288390334207612,-0.07211106060226105,375,375,750,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,target_tail_enrich_05,-2.1796261245632644,-2.5410082720498006,-1.8335838681394758,373,375,695,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,target_tail_enrich_10,-1.2909000845650518,-1.4773319128468294,-1.1043639025584255,373,375,695,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,bg_tail_enrich_05,0.18302409616003174,0.1420272290504132,0.22697168429334866,369,375,738,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,auc_target_bg,-0.07413370696622543,-0.0839973544480067,-0.06342222439659585,367,375,683,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,auc_target_other,-0.029260440459688,-0.03762102462316334,-0.022312842843870258,322,375,644,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,ap_target_bg,-0.18346880190814444,-0.2046634541302404,-0.16251337496640872,367,375,683,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,exactly_2_labels,macro_class,ap_target_other,-0.04496429034399037,-0.054506948695756785,-0.035944392499417714,322,375,644,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,3plus_labels,micro,target_hit,-0.09361702127659574,-0.1349036402569593,-0.05603448275862069,147,147,470,470,,5000,5000,1.0,3021694564,20260901
