graph,relevance_quintile,stability_quintile,region,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
B1_spatial,2,3,background,region_probability,0.7012826906028369,0.6831528393354449,0.7197697530781856,1449,1449,5000,5000,20260901,whole image
B1_spatial,2,4,target,region_probability,0.1569910499418652,0.1441801532395535,0.16961168611524674,1449,1449,5000,5000,20260901,whole image
B1_spatial,2,4,other_fg,region_probability,0.1376037638915177,0.12456406576020118,0.1508194707397514,1449,1449,5000,5000,20260901,whole image
B1_spatial,2,4,background,region_probability,0.7048643971554498,0.6866593702366283,0.7232656190078159,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,0,target,region_probability,0.3429792266753143,0.3264191095482149,0.3593161665846305,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,0,other_fg,region_probability,0.10352326269004063,0.09353852494266908,0.11343861770821718,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,0,background,region_probability,0.5530015451233238,0.5344550768454532,0.5719063739100629,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,1,target,region_probability,0.31177478802954695,0.29635580367621717,0.3270334498658345,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,1,other_fg,region_probability,0.09537532800436833,0.08579545867944473,0.10504022859100322,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,1,background,region_probability,0.5920914923629965,0.5735633975104204,0.6110370394929663,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,2,target,region_probability,0.3074629949380912,0.2914693021462356,0.3233366548264426,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,2,other_fg,region_probability,0.09101105355588023,0.08155573640771119,0.10054726707068976,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,2,background,region_probability,0.6008766104396334,0.5821819748460773,0.6195843470753462,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,3,target,region_probability,0.3141551714102788,0.2975873049325677,0.33085397561450447,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,3,other_fg,region_probability,0.08801874163319946,0.07868231210763162,0.09743962088776492,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,3,background,region_probability,0.5973604563180257,0.5779466361985132,0.6164691616270574,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,4,target,region_probability,0.3213648142816009,0.303642369287963,0.3386984436185562,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,4,other_fg,region_probability,0.08748920241865822,0.07789024763322158,0.09751597783403093,1449,1449,5000,5000,20260901,whole image
B1_spatial,3,4,background,region_probability,0.5904693348689893,0.5706016156574333,0.6107985989481707,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,0,target,region_probability,0.6118781957066264,0.5960825046246148,0.6272884195004678,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,0,other_fg,region_probability,0.06436955306684332,0.057363999654097324,0.07126650653490946,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,0,background,region_probability,0.32282070921398553,0.30796785031836993,0.3382325952299077,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,1,target,region_probability,0.575845030390485,0.5587757137121628,0.5922448098668139,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,1,other_fg,region_probability,0.05830308860611891,0.05176169544112862,0.06486956887997464,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,1,background,region_probability,0.36515224394012274,0.348795542018495,0.3821283806316798,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,2,target,region_probability,0.572383225366519,0.5547563289797136,0.5897650671664724,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,2,other_fg,region_probability,0.05651210364814183,0.049656805860034514,0.06360044398021764,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,2,background,region_probability,0.370490964882373,0.35362540384460944,0.3879744058403845,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,3,target,region_probability,0.5700036515288375,0.5511251102432435,0.588368053051466,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,3,other_fg,region_probability,0.05413871965867815,0.04734385221683053,0.061063668059436235,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,3,background,region_probability,0.37514654161781946,0.3574496156646154,0.3939214010348349,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,4,target,region_probability,0.5654179963007379,0.5460217311630697,0.5843012788518883,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,4,other_fg,region_probability,0.0551433972235208,0.04826188500873564,0.06204631180671652,1449,1449,5000,5000,20260901,whole image
B1_spatial,4,4,background,region_probability,0.37874753551901463,0.3602422799262668,0.39755909629354874,1449,1449,5000,5000,20260901,whole image
B2_feature,0,0,target,region_probability,0.08448025495714304,0.07570136669005892,0.09347504199500761,1449,1449,5000,5000,20260901,whole image
B2_feature,0,0,other_fg,region_probability,0.17041263477132246,0.15481147242367713,0.18558242722184232,1449,1449,5000,5000,20260901,whole image
B2_feature,0,0,background,region_probability,0.744721590397985,0.7273326970518127,0.7621569646446225,1449,1449,5000,5000,20260901,whole image
B2_feature,0,1,target,region_probability,0.054921584182583756,0.048337904977786755,0.06168640982733097,1449,1449,5000,5000,20260901,whole image
B2_feature,0,1,other_fg,region_probability,0.1955055836943919,0.17837307840509337,0.2124281614757421,1449,1449,5000,5000,20260901,whole image
B2_feature,0,1,background,region_probability,0.7492066882284738,0.7306097029125798,0.7675028325330389,1449,1449,5000,5000,20260901,whole image
B2_feature,0,2,target,region_probability,0.04627596415036028,0.04037941314181942,0.05250823736759159,1449,1449,5000,5000,20260901,whole image
B2_feature,0,2,other_fg,region_probability,0.21651295564339043,0.19784716418756332,0.2345054411849622,1449,1449,5000,5000,20260901,whole image
B2_feature,0,2,background,region_probability,0.7369345630215195,0.7178313427423487,0.7562100831182318,1449,1449,5000,5000,20260901,whole image
B2_feature,0,3,target,region_probability,0.0420654276343453,0.03615316827714488,0.0482737171797316,1449,1449,5000,5000,20260901,whole image
B2_feature,0,3,other_fg,region_probability,0.21924144310823312,0.20019788980749229,0.23737059327835744,1449,1449,5000,5000,20260901,whole image
B2_feature,0,3,background,region_probability,0.7384240181649987,0.7188232276978216,0.7581554170929483,1449,1449,5000,5000,20260901,whole image
B2_feature,0,4,target,region_probability,0.04037598441866373,0.034497262194766176,0.04658404853568941,1449,1449,5000,5000,20260901,whole image
B2_feature,0,4,other_fg,region_probability,0.22333813193327123,0.2035598076884228,0.24175498317615107,1449,1449,5000,5000,20260901,whole image
B2_feature,0,4,background,region_probability,0.7359640951816411,0.7160203275951628,0.7561230953212013,1449,1449,5000,5000,20260901,whole image
B2_feature,1,0,target,region_probability,0.15713687894696796,0.1444527023008059,0.17001221956627705,1449,1449,5000,5000,20260901,whole image
B2_feature,1,0,other_fg,region_probability,0.17880240432169214,0.1626738044249281,0.19462919397947456,1449,1449,5000,5000,20260901,whole image
B2_feature,1,0,background,region_probability,0.6636232214867229,0.6454736379007755,0.6822065007963453,1449,1449,5000,5000,20260901,whole image
B2_feature,1,1,target,region_probability,0.10700162074554295,0.09711953138119443,0.11726459997688136,1449,1449,5000,5000,20260901,whole image
B2_feature,1,1,other_fg,region_probability,0.18163695299837926,0.16580351088598164,0.1970985731950608,1449,1449,5000,5000,20260901,whole image
B2_feature,1,1,background,region_probability,0.7110210696920584,0.6933216359222021,0.7284871449121306,1449,1449,5000,5000,20260901,whole image
B2_feature,1,2,target,region_probability,0.0863333034084448,0.07797656510711459,0.09493045454594316,1449,1449,5000,5000,20260901,whole image
B2_feature,1,2,other_fg,region_probability,0.18505551066822276,0.1692143475251058,0.20105037821194963,1449,1449,5000,5000,20260901,whole image
B2_feature,1,2,background,region_probability,0.7282371248167101,0.7104581143157757,0.7461268185926592,1449,1449,5000,5000,20260901,whole image
B2_feature,1,3,target,region_probability,0.07330684028071362,0.06593961348948943,0.08126357001800656,1449,1449,5000,5000,20260901,whole image
B2_feature,1,3,other_fg,region_probability,0.19053859812293905,0.17379320594121092,0.206915298017052,1449,1449,5000,5000,20260901,whole image
B2_feature,1,3,background,region_probability,0.7357740762661706,0.71781515335686,0.7540505154699033,1449,1449,5000,5000,20260901,whole image
B2_feature,1,4,target,region_probability,0.06994420523612399,0.0624480465356969,0.07776071253274505,1449,1449,5000,5000,20260901,whole image
B2_feature,1,4,other_fg,region_probability,0.18964681776017944,0.1730864011378046,0.20635202321484616,1449,1449,5000,5000,20260901,whole image
B2_feature,1,4,background,region_probability,0.7400351659305819,0.7216140251301087,0.7578749151046156,1449,1449,5000,5000,20260901,whole image
B2_feature,2,0,target,region_probability,0.23161016949152544,0.2165663134037458,0.24650647485896965,1449,1449,5000,5000,20260901,whole image
B2_feature,2,0,other_fg,region_probability,0.14559322033898306,0.13273118420961832,0.15826687514923304,1449,1449,5000,5000,20260901,whole image
B2_feature,2,0,background,region_probability,0.6223305084745763,0.6035210244479564,0.6405639564870071,1449,1449,5000,5000,20260901,whole image
B2_feature,2,1,target,region_probability,0.19539031549232522,0.18181077182687794,0.20909143342239117,1449,1449,5000,5000,20260901,whole image
