class_id,class_name,positive_images,class_token_ap_fraction,class_token_ap_percent,patch_class_stable_last_ap_fraction,patch_class_stable_last_ap_percent
0,aeroplane,90,0.9980340070557463,99.80340070557463,0.9985052092185138,99.85052092185138
1,bicycle,79,0.9382940001028961,93.8294000102896,0.953172214376414,95.3172214376414
2,bird,103,0.9579477593890682,95.79477593890682,0.9594140143511096,95.94140143511096
3,boat,72,0.971550439262983,97.1550439262983,0.9569057604320645,95.69057604320645
4,bottle,96,0.8275745770360899,82.75745770360899,0.8414346303648577,84.14346303648577
5,bus,74,0.9474766000723708,94.74766000723707,0.9533431589709219,95.3343158970922
6,car,127,0.8875221294483105,88.75221294483106,0.8883740250074248,88.83740250074248
7,cat,119,0.9790142009609335,97.90142009609335,0.9757412346373461,97.57412346373461
8,chair,123,0.764309688749207,76.43096887492071,0.7795670423522267,77.95670423522267
9,cow,71,0.9523252928689739,95.23252928689739,0.9539531912604944,95.39531912604944
10,diningtable,75,0.8204733473930818,82.04733473930817,0.8354351541673793,83.54351541673793
11,dog,128,0.9792771357308963,97.92771357308962,0.9827943955162409,98.2794395516241
12,horse,79,0.9791109124437801,97.91109124437801,0.9806136493851524,98.06136493851524
13,motorbike,76,0.982503651767216,98.2503651767216,0.9822691609610733,98.22691609610733
14,person,445,0.9635497883666311,96.35497883666311,0.9651441941430883,96.51441941430883
15,pottedplant,85,0.7701063891335141,77.01063891335141,0.7703147620605051,77.03147620605051
16,sheep,57,0.9569936816747956,95.69936816747956,0.9766285528214016,97.66285528214016
17,sofa,90,0.7889213853330471,78.89213853330472,0.7823851234434073,78.23851234434073
18,train,84,0.9991737202365429,99.9173720236543,0.9990842490842491,99.9084249084249
19,tvmonitor,74,0.9206175355413524,92.06175355413524,0.9049676079464308,90.49676079464308
