method,seed,epoch,run,checkpoint,checkpoint_sha256,class_macro_mAP_percent,patch_macro_mAP_percent,class_val_loss,patch_val_loss,classification_images,cam_images,fixed_mean_iou_percent,fixed_semantic_foreground_precision_percent,fixed_semantic_foreground_recall_percent,fixed_threshold,best_mean_iou_percent,best_semantic_foreground_precision_percent,best_semantic_foreground_recall_percent,best_threshold,evaluation_seconds,evaluation_finished_utc,scope
gwrp,11,3,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_003.pth,72ced3ec598921a382bb35f69d04130e69833c31b56539dc182f2786293ea9ca,8.02579606659613,28.215923404539662,0.2650350005648069,0.21118372896772322,1449,1464,6.716129712229502,34.2267458245766,12.891709468635934,0.45,14.571857654661235,19.77110062788259,59.12172054651983,0.0,144.0263795852661,2026-09-16T14:08:19.634162+00:00,full
all_product,0,4,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_004.pth,b3e70ea3e6a49b75b5b45c78097929bf3ea248000897e94f37326753d39be224,13.09180162564821,70.08717190463867,0.261319431170996,0.11637562473244796,1449,1464,47.331664647087415,64.85788109744794,64.17067573609452,0.45,47.82746868034693,60.8594565276554,68.81680882192765,0.39,144.43868160247803,2026-09-16T14:15:35.261401+00:00,full
gwrp,0,4,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_004.pth,33ef1f507f2119a2457e5f37e5bc3818aae4289d28dc7de7c7ddbf12ad5dd5e2,12.829953537251825,61.313110354543255,0.26189586853388674,0.13890086022881165,1449,1464,30.50251243622448,52.905233311084785,46.71232610044828,0.45,33.38105643019263,42.88865450722845,59.31190306289672,0.28,144.31555008888245,2026-09-16T14:13:09.948292+00:00,full
all_product,11,4,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_004.pth,cc81236b4490a47d84ac7150447118f57f406a9af88bf172dc904f3572511aaf,13.58212090332411,70.20227684967453,0.26279709693314374,0.12379672905858259,1449,1464,45.139653741525045,55.36492969701443,68.07562262482668,0.45,45.14560737525756,56.01722794610108,67.30086653256153,0.46,144.43651914596558,2026-09-16T14:20:25.546644+00:00,full
gwrp,11,4,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_004.pth,16496f194af8a5ac493ef2a4961beb5c6f80ce1e48f8d66ac20ba6234c016a43,13.260235606057314,54.75698156197575,0.26202106467603076,0.15994663759706101,1449,1464,26.596509034176073,51.195812288738466,45.00061538757536,0.45,28.28876382299019,42.1416717481009,55.08223240317114,0.3,144.19471216201782,2026-09-16T14:18:00.426643+00:00,full
all_product,0,5,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_005.pth,7f48b236a4745820e75d473930c5af9f07102169be91c58d73674dcc9b5093d7,13.552594383744601,82.21808359955514,0.2443810258551743,0.08612689508023634,1449,1464,58.089629436036326,64.94042045033666,77.70889383051002,0.45,58.48136571421806,68.4535339493884,74.12714150830111,0.5,144.28679871559143,2026-09-16T14:25:16.024945+00:00,full
gwrp,0,5,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_005.pth,e021b71e8afd647dd2af73292ecacf35825d8decfa2b6f25c0a77aebb22869e9,13.519193953457108,83.09451512060777,0.25999064479226325,0.08565089109130693,1449,1464,58.80865295975077,71.44414771361718,75.45768704087847,0.45,58.80865295975077,71.44414771361718,75.45768704087847,0.45,144.3850076198578,2026-09-16T14:22:50.852848+00:00,full
all_product,11,5,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_005.pth,e86def2758cad0d89e591bf806dc62aec1b946b9531756633a2f063e31033d0b,14.07130243342804,82.9463179724254,0.2608028810710394,0.08707857903239644,1449,1464,55.163331791173974,58.966244375812174,78.50835769233032,0.45,55.95604042726576,64.10106509438826,73.19549145750233,0.52,144.4528250694275,2026-09-16T14:30:06.612639+00:00,full
gwrp,11,5,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_005.pth,a6438d72cbb41b52aae7221e8fde81db0a03b5b37b97b6bab9b535e8f9af4e60,15.401764946928298,77.87176368965964,0.24325976852427852,0.10108077381605769,1449,1464,49.11595896121333,63.523619765605574,69.58378578601268,0.45,49.23417738197293,61.286543055953246,72.1106154213056,0.42,144.3748424053192,2026-09-16T14:27:41.425578+00:00,full
all_product,0,6,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_006.pth,7269ee728a9ca73141290dc3d345b71f298497b682ea66172896f38225ab5768,18.33610101510262,86.518205603031,0.23294843275683597,0.07311586840264628,1449,1464,61.37388219677371,68.62442076041432,80.98526961652075,0.45,61.56164444708872,70.89299635910436,78.84263331913891,0.48,144.35570549964905,2026-09-16T14:34:57.206160+00:00,full
