pooling,class_macro_mAP_percent,patch_macro_mAP_percent,class_val_loss,patch_val_loss,fixed_t045_cam_mIoU_percent,best_cam_mIoU_percent,best_threshold,fixed_semantic_FG_precision_percent,fixed_semantic_FG_recall_percent
minimal,92.98314000451056,93.23721299729752,0.050411299547197246,0.04954803010527227,71.78274296814615,71.82042610482866,0.46,82.23214205455433,85.92838147077919
conservative,92.52882507728708,92.97390000891802,0.051532240356964604,0.04960889181056625,71.78156336746979,71.78156336746979,0.45,82.24581950517707,82.62314894601283
