threshold,mean_iou_percent,foreground_mean_iou_percent,semantic_foreground_precision_percent,semantic_foreground_recall_percent,binary_foreground_precision_percent,binary_foreground_recall_percent,background_false_positive_rate_percent,pixel_accuracy_percent
0.0,22.63472132311795,23.761770023423306,24.704085868835346,92.65272612006929,26.66294334812054,99.99942522482822,99.90625248726846,24.755828094582892
0.01,22.70195025448732,23.817035336537437,24.75951008644485,92.65126800621248,26.722753594726296,99.99781887947974,99.59974821556592,24.98027665129031
0.02,22.88644783392229,23.968073570538976,24.915194874671307,92.64712054957825,26.890762445059423,99.99326605509277,98.74603622771028,25.605414393122082
0.03,23.1679507615456,24.196634129398138,25.16322348909893,92.63743558793381,27.157711831361773,99.98006740206932,97.40552876717263,26.586166864809634
0.04,23.557562563883913,24.515075818740012,25.506920271363043,92.62424601030781,27.52713753072382,99.960337488015,95.59206759371807,27.912922062292267
0.05,24.05312722829267,24.923556915676382,25.94513358076483,92.61008234002226,27.997057786246156,99.93434101202207,93.3538818507625,29.550975613172913
0.06,24.630121539406716,25.402705579169226,26.460063578730498,92.59228699819083,28.548798729039177,99.90144420883537,90.81827353368782,31.40623667770192
0.07,25.261591225823732,25.930327544182212,27.033255036298833,92.56872726641299,29.162228562799353,99.85887303196792,88.10704177744061,33.388790902422336
0.08,25.944140641814013,26.505682349023846,27.658718999240524,92.53944398397726,29.829737532646433,99.80315160419676,85.2761733521687,35.457579916781086
0.09,26.674077413877416,27.12806479979578,28.327000096840592,92.50602837056971,30.54229583795358,99.74040581879999,82.38908026352131,37.56651164243816
0.1,27.436945350742466,27.784644439887142,29.03071086111727,92.47014576162226,31.2924857625973,99.67447003119986,79.49281702276471,39.681512834810285
0.11,28.23512690271994,28.47834164754799,29.773738152043123,92.43746071770936,32.078937174450374,99.59432973402566,76.59473084960753,41.79870322659783
0.12,29.061778245730995,29.204290282817908,30.54307678002337,92.40201221527322,32.89321507180254,99.51188882359813,73.7419905319704,43.88189372326704
0.13,29.917166762883312,29.96251472811825,31.338941290767064,92.35704967117793,33.73842247337148,99.42841180529514,70.92956240298949,45.93297811127836
0.14,30.797259484183797,30.74987239474859,32.155112460492305,92.29855268435358,34.60797273703175,99.33928232694764,68.178813450004,47.935211352614274
0.15,31.69499776951405,31.559490623121032,32.98850966896056,92.21946362071724,35.49542345111926,99.22754754612068,65.49832650904835,49.880416997028085
0.16,32.614665009484526,32.39590462091476,33.84170286484797,92.1384581356529,36.40492098822074,99.11715441154995,62.89151010110303,51.771070790471384
0.17,33.55598772715453,33.25843896489956,34.716211608447914,92.05119516404741,37.33842877192287,99.00409159756293,60.35012367068987,53.6120609508583
0.18,34.52123585895677,34.14881792382204,35.61873048811313,91.96327271356063,38.301815985496404,98.89067635564165,57.86129406257127,55.414322190732825
0.19,35.504519296272335,35.06118821810523,36.54418445550482,91.85907958801386,39.29051674854194,98.76238199960258,55.4293940069993,57.170487322076966
0.2,36.505162355698964,35.995516266014576,37.48759341207307,91.73838133963969,40.29860328490476,98.61739042482344,53.06739665128417,58.870977388391175
0.21,37.51685028813286,36.94506887459349,38.45392992684046,91.61804005689851,41.32832720162381,98.46640757516165,50.77483445007538,60.520628215114606
0.22,38.538031796879565,37.90824487073888,39.43699595440471,91.47933168228661,42.37724521761929,98.29962899623972,48.55041574753395,62.11539832733235
0.23,39.5721400045747,38.88853782017308,40.438926198407465,91.33660290660477,43.448360288290424,98.13380333404994,46.394897626495315,63.658555000386976
0.24,40.60009275709821,39.86686468126912,41.44768035364797,91.1882806609618,44.53006527381765,97.9697791382538,44.32780546206037,65.13535620088075
0.25,41.62298632118703,40.84409946018517,42.4661497646595,91.03393991424385,45.621375935841435,97.79774287907637,42.34171511754159,66.5511346767269
0.26,42.64431184974384,41.82369027247962,43.49759877629511,90.87301194154409,46.72115848371848,97.60751196057974,40.43004195013572,67.91056907593973
0.27,43.64415945243819,42.786625076648185,44.514717460608786,90.68932438460826,47.800782926147214,97.38398794654113,38.62747441852536,69.1839045029301
0.28,44.6269593234692,43.73669121119404,45.523241532072426,90.50267522297155,48.86922669020078,97.15467534149624,36.92243871500979,70.38490607294719
0.29,45.6103218939018,44.690478212208085,46.54421104403523,90.31725123999045,49.9488246722006,96.92377302933151,35.27760538149423,71.5420724712381
0.3,46.5909417848149,45.64407814899283,47.57748323398771,90.11687100201327,51.04327524088526,96.68145386717583,33.68191485522282,72.659204973371
0.31,47.55699829899878,46.586137343178166,48.606867856233116,89.89873474892693,52.13458045750875,96.42326334744794,32.15567211981859,73.72066281349299
0.32,48.51377448798904,47.52186853032123,49.63695803993512,89.67099975047195,53.2250869362415,96.15308725282229,30.693019947336154,74.7329160592431
0.33,49.453657527868586,48.44282607389673,50.67138959907642,89.42027525771216,54.318853427554046,95.85698879794954,29.28127362913629,75.70170168662985
0.34,50.379857717327084,49.35225137301772,51.710328653153304,89.14830525952408,55.41651626495877,95.53775110471409,27.918338825764195,76.62902068517784
0.35,51.2878781048378,50.245530689619045,52.74879283632542,88.84693097360092,56.51416232779336,95.18909551064742,26.60464846992982,77.51238159119299
0.36,52.16787093845746,51.11243663715188,53.78455312973118,88.51605105800454,57.60760484256912,94.8078471392086,25.341493118658192,78.3508107106791
0.37,53.031259386096174,51.96445983434411,54.82479583436716,88.17127065864864,58.70460239249879,94.41091950611022,24.123010599341,79.1527662041905
0.38,53.87225510928211,52.79576701998688,55.86327132476083,87.8017613138102,59.79826106176942,93.98648736847612,22.950993077587274,79.91404821033028
0.39,54.69977402580886,53.615703736734524,56.89509979699251,87.41392420382333,60.886079679190544,93.54568623897636,21.828147481648283,80.63437663086691
0.4,55.48767591481555,54.397232971524524,57.90985906337571,86.9952186419796,61.956353461235615,93.07407413513693,20.75892181053404,81.30714719282167
0.41,56.24701222245883,55.15144727819206,58.91556999869948,86.5561176369353,63.01686000622506,92.58154929044233,19.73564139796851,81.94078017295932
0.42,56.97215030732412,55.87206273844443,59.91861037819544,86.07934616964607,64.07553807458713,92.05120726457736,18.745942388995985,82.53974223128009
0.43,57.65605671153767,56.55154382808954,60.92321214421717,85.55604362706912,65.13633751334471,91.47264462693288,17.78364120791764,83.10620846153301
0.44,58.296388295669445,57.187779105344326,61.91703818898387,85.00036611665875,66.1870542120579,90.86228935945799,16.860614935093963,83.63523825332902
0.45,58.87828871294516,57.765871002087124,62.883366231323635,84.4100689901126,67.20623111809883,90.21276921429157,15.989304891866569,84.11710716029577
0.46,59.41957173191591,58.30362452371679,63.843955656811204,83.7888731603848,68.21539083118194,89.52594918560938,15.151764698830553,84.56597122614947
0.47,59.92414153048442,58.80500575045436,64.79554649665911,83.13745776971774,69.21519646907375,88.80819415215572,14.347219692126718,84.98257966328211
0.48,60.39048745123725,59.2685536441072,65.73634492130236,82.45758193265036,70.19996212700563,88.05660149931313,13.577557084773757,85.36601681243891
0.49,60.814626131397965,59.69002066758495,66.66544332510405,81.73972253212604,71.17082854662397,87.2638579693039,12.839388134442903,85.71623108718302
0.5,61.19000853387524,60.062277536366814,67.5867355271467,80.98445131818409,72.13351311323768,86.4325364373048,12.128362636568776,86.0365659334552
0.51,61.51752815237595,60.38628710808263,68.49788510928781,80.19543777652642,73.0845387573467,85.56536557281557,11.446009590811066,86.32687747345882
0.52,61.78506085726282,60.64962474342954,69.38515304979755,79.36545032795235,74.01166238903272,84.65743256068374,10.797500015781717,86.58144565798493
0.53,61.995045241744094,60.854558187615396,70.26143272689292,78.48789267108262,74.9261670372944,83.69879076530512,10.173869786993645,86.805088579635
0.54,62.13835192549886,60.991509064333705,71.1231165096874,77.55624715798257,75.82722324152643,82.68584330415739,9.57441676231064,86.99658468770434
0.55,62.19934785535044,61.044324861521424,71.96416796914157,76.56667489553121,76.70496903182631,81.61067643066494,9.002570889585902,87.15239507201862
0.56,62.215371830012714,61.05152999324995,72.79704496652168,75.53924310005473,77.57597836229718,80.4981945479943,8.451857407414662,87.28261616552243
0.57,62.16569459678058,60.99172702998869,73.60818640369823,74.46384329136109,78.4263154798916,79.33798061244019,7.927266030101383,87.38089437307882
0.58,62.03787886061999,60.85202519883086,74.40017143746707,73.33012497865958,79.25287904205203,78.11303942971291,7.427558943692316,87.44537983730251
0.59,61.83265432489874,60.63305002811009,75.1794085967755,72.13478774241125,80.06159687011186,76.81925681963556,6.948899089752934,87.47800785561485
