152911587,1144053,943816,1140368,2022981,551418,908634,1008842,432020,3598647,610939,717275,587051,531863,588418,6044135,3173024,618115,747451,2329585,1404207
37813,1733794,0,0,0,0,0,811,0,0,0,0,0,0,0,8162,0,0,0,0,0
69932,0,576093,0,0,0,0,3140,0,4408,0,0,0,0,0,104476,50,0,212,0,0
91114,0,0,2135032,94,0,0,0,0,38,0,3193,0,0,0,2080,0,696,0,0,0
73843,0,0,0,1399159,0,0,6678,0,77,0,0,0,0,159,27548,6796,0,0,0,0
193900,0,4066,0,0,1192366,0,26,0,2113,0,53374,4,0,0,69035,303,0,942,0,1057
229057,0,1117,0,0,0,3668925,304799,0,0,0,0,0,0,0,169005,0,0,0,2719,0
166973,0,3974,0,100,171,1243,3250185,0,0,235,0,159,81,23,71504,0,81,0,20,0
651542,0,0,0,0,0,0,0,6037867,704,0,250,17811,0,0,11362,646,0,32301,0,32
694052,0,1510,0,0,113,0,0,8961,1823732,0,93357,14848,444,0,164509,12124,0,37126,0,10315
132802,0,0,0,0,0,0,0,0,0,1904330,0,0,10501,0,13258,34,0,0,0,0
772329,0,0,94,0,10417,0,0,3702,782145,0,1445482,0,0,0,361256,6205,0,2,0,0
232440,0,0,0,0,0,0,3095,2923,1234,0,0,4033386,0,0,64848,0,126,6899,0,0
75800,0,0,0,0,0,0,0,0,0,0,0,30801,2124478,0,51860,0,800,0,0,0
37302,0,0,0,0,0,0,18864,0,10,0,0,0,0,2594169,238296,0,0,0,0,0
1697037,3888,46904,2593,1680,6565,3685,32936,8958,53340,465,2704,8644,44313,94558,9763815,7450,2374,202745,610,10589
351702,0,650,0,0,0,0,0,7684,6486,71,1579,1100,0,162,6947,1293820,0,103,0,36
75494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,0,2174105,0,0,0
244330,0,660,0,0,0,0,0,4294,98279,0,2801,6921,0,0,47243,20444,0,3187146,0,111
311331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89913,0,0,0,3582994,0
331820,0,0,1173,0,928,0,0,380,35509,0,9,0,0,0,92877,186,0,1365,0,1884988
