selection,threshold,class_id,class_name,iou_percent,precision_percent,recall_percent
fixed_0.45,0.45,0,background,81.12664293010583,95.94019093725649,84.01069510813343
fixed_0.45,0.45,1,aeroplane,59.20374141076673,60.164935360121596,97.37242920846016
fixed_0.45,0.45,2,bicycle,32.71382072085987,36.48952678950335,75.97054506660196
fixed_0.45,0.45,3,bird,63.2325724313078,65.10712782761965,95.64497118822423
fixed_0.45,0.45,4,boat,39.53414907399166,40.863121470881836,92.39886149010077
fixed_0.45,0.45,5,bottle,57.13854431526195,67.6720140660099,78.59062764881827
fixed_0.45,0.45,6,bus,69.36656013479585,80.06405691931042,83.84922189348167
fixed_0.45,0.45,7,car,66.68496124285485,70.20784226643072,93.0019580805374
fixed_0.45,0.45,8,cat,83.61032575649418,92.79334246123548,89.41656553150938
fixed_0.45,0.45,9,chair,24.499088604758597,28.46591439428775,63.742537374728734
fixed_0.45,0.45,10,cow,71.25290209849081,75.68758843261634,92.40171282312554
fixed_0.45,0.45,11,diningtable,33.962004372941514,62.30461409019906,42.74510059048412
fixed_0.45,0.45,12,dog,80.46992492453549,85.80348775986683,92.82926320688082
fixed_0.45,0.45,13,horse,73.99936118506093,78.34545374085438,93.02630466966671
fixed_0.45,0.45,14,motorbike,72.62590493009301,79.15111233020157,89.80586372622975
fixed_0.45,0.45,15,person,49.716378572853216,56.09133639566581,81.39325315173502
fixed_0.45,0.45,16,pottedplant,26.41741815688576,28.617485814236503,77.4584815067591
fixed_0.45,0.45,17,sheep,75.57753710472754,77.74943076504391,96.43560351178972
fixed_0.45,0.45,18,sofa,68.66814252242062,75.5912066811312,88.23211374472659
fixed_0.45,0.45,19,train,56.718322692495946,60.565206337872944,89.92921607594727
fixed_0.45,0.45,20,tvmonitor,49.92575979014626,56.92531864036711,80.23837547116402
oracle,0.56,0,background,85.492208565268,92.81812483922765,91.54814259258534
oracle,0.56,1,aeroplane,71.34484185618713,75.61853472970186,92.65986363993754
oracle,0.56,2,bicycle,39.01940838338823,46.80622344462307,70.10857023041997
oracle,0.56,3,bird,73.55251387018704,81.31785453518742,88.50884333140553
oracle,0.56,4,boat,52.88516932913092,58.10595997354974,85.47772509344497
oracle,0.56,5,bottle,56.485320587562406,77.5420855545364,67.53338087749293
oracle,0.56,6,bus,68.4841793456308,87.97435681829552,75.55744074785254
oracle,0.56,7,car,69.2345237880234,78.3940089815987,85.56088005175765
oracle,0.56,8,cat,75.81707628983887,97.31283220187042,77.43831742691427
oracle,0.56,9,chair,25.737730455317564,32.86078695148234,54.28275437586571
oracle,0.56,10,cow,76.49251288015108,88.40548341640392,85.0220168128389
oracle,0.56,11,diningtable,30.14894527704811,68.6906885231039,34.9520290794504
oracle,0.56,12,dog,79.80894990643364,93.73474885769969,84.3062211748763
oracle,0.56,13,horse,80.14769532446452,89.62795791119768,88.34131220774353
oracle,0.56,14,motorbike,76.26720964209886,85.99365125378507,87.08503410427257
oracle,0.56,15,person,49.7696444528031,63.648727264292006,69.53457165572135
oracle,0.56,16,pottedplant,28.260770527000545,33.63635303245104,63.877354311098344
oracle,0.56,17,sheep,81.27953362170473,90.63429791101552,88.73217258389249
oracle,0.56,18,sofa,70.44859784140355,84.82662963251059,80.60618526677018
oracle,0.56,19,train,63.37391921183785,73.20265308935195,82.51740985352782
oracle,0.56,20,tvmonitor,52.472057274786785,67.54804066858578,70.15828556955775
