160865985,2238247,796164,1491865,1745685,359713,849158,1016503,319970,1951996,390193,519574,329508,246878,486349,2393881,1388867,396920,655023,1541101,2030849
64525,1714590,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0
81148,0,648738,0,0,0,0,1540,0,0,0,0,0,0,0,23849,92,0,2700,0,244
109344,0,0,2120798,0,0,0,0,0,0,0,39,0,0,0,1370,0,696,0,0,0
60635,0,0,0,1409651,0,0,6655,0,0,0,0,0,0,0,33623,3696,0,0,0,0
199829,0,4806,0,0,1192095,0,4,0,64,0,14713,0,0,0,102352,0,66,901,0,2356
259390,0,1946,0,0,0,3905527,107703,0,0,0,0,0,0,0,101048,0,0,0,8,0
193199,0,9060,0,105,265,2821,3237255,3,0,0,0,0,0,0,51805,0,147,0,89,0
552215,0,0,0,0,0,0,0,6100409,766,0,1,14951,0,0,83222,46,0,583,0,322
561567,0,2252,0,0,375,0,0,3986,2014217,0,103296,6886,482,0,75010,14416,0,65295,0,13309
108820,0,0,0,0,0,0,0,0,0,1920659,0,0,1823,0,29623,0,0,0,0,0
717061,0,0,165,0,11769,0,0,422,390980,0,2128399,0,0,0,115533,7615,0,9688,0,0
210351,0,0,0,0,0,0,2687,2760,6769,0,0,3864767,0,0,182159,0,309,75149,0,0
211756,0,0,0,0,0,0,0,0,0,0,0,5085,1866305,0,199861,0,732,0,0,0
92032,0,0,0,0,0,0,9943,0,123,0,0,0,0,2727153,59390,0,0,0,0,0
2364219,4735,85294,824,16895,13044,6814,42768,5843,112494,1219,144750,193,25557,179113,8634959,18950,2386,305030,7992,22774
282273,0,28,0,0,0,0,0,4236,4713,0,0,0,0,0,18834,1359146,0,1110,0,0
94587,0,0,0,0,0,0,0,0,0,0,0,163,0,0,1668,0,2158045,0,0,0
759675,0,341,0,0,0,0,0,3538,137474,0,7752,3205,0,0,54791,35254,0,2605765,0,4434
375869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7733,0,0,0,3600636,0
115225,0,39,902,0,119,0,0,37,21894,0,122,0,0,0,24052,2967,0,3388,0,2180490
