model,class_token_macro_map_percent,patch_head_macro_map_percent,class_token_validation_loss,patch_head_validation_loss,fixed_threshold,fixed_raw_cam_miou_percent,best_raw_cam_miou_percent,best_threshold,foreground_precision_percent_at_fixed_threshold,foreground_recall_percent_at_fixed_threshold
Original MCTformer+,92.90631608285518,93.2576965561305,0.05063256781787359,0.049779508630516944,0.45,70.06305830908285,70.33970662277234,0.48,80.7353249256176,85.8168977759483
PatchFinalLN MCTformer+,92.91619025506395,93.31349787399738,0.04924924780657737,0.048790865381723274,0.45,69.1908565369972,70.02435915114744,0.5,78.7619429298976,87.03590364874388
Last-MCT,88.87736946304902,90.15188998405692,0.06330415667687062,0.060058312047095525,0.45,58.87828871294516,62.215371830012714,0.56,62.883366231323635,84.4100689901126
