relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,reference_relation,comparison_relation
,all_rows,3plus_labels,macro_class,map_spearman,-0.05315670795328944,-0.0952671950039828,0.0024697816204670925,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,s_last,patch_norm
,all_rows,3plus_labels,macro_class,top05_jaccard,0.23301698438565532,0.2025571474656484,0.2762685453097224,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,s_last,patch_norm
,all_rows,3plus_labels,macro_class,top10_jaccard,0.24898526510638663,0.22265189696674817,0.2841009438110966,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,s_last,patch_norm
,all_rows,3plus_labels,macro_class,top20_jaccard,0.2627498184838162,0.24028372619049168,0.292352968380359,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,s_last,patch_norm
,per_class,all,micro,map_spearman,-0.4343987298594104,-0.5054357484012516,-0.36188649661710476,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.05358218465462936,0.023745290250977137,0.09076258381839965,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.07813452816416515,0.045959509326656205,0.1154781699931286,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last,patch_norm
,per_class,all,micro,top20_jaccard,0.10917275506634828,0.07967939118945247,0.14165021609729145,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last,patch_norm
,per_class,all,micro,map_spearman,0.2691544458871596,0.20178065329851522,0.33487813782359666,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last,patch_norm
,per_class,all,micro,top05_jaccard,0.3575800687429717,0.30461494710888226,0.41149651338547705,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last,patch_norm
,per_class,all,micro,top10_jaccard,0.4034361247791347,0.3579642994896929,0.45050020538502167,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last,patch_norm
