relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,comparison
,per_class,all,micro,binary_mask_jaccard,0.5511889133026929,0.5107004310542006,0.5903255886436114,123,123,123,123,,5000,5000,1.0,3021694564,20260901,8,chair,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.6680937488146914,0.6297434940025574,0.7048811564539991,123,123,123,123,,5000,5000,1.0,3021694564,20260901,8,chair,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.6529298431989623,0.6005603255476893,0.7026819972836268,123,123,123,123,,5000,5000,1.0,3021694564,20260901,8,chair,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.6846374827371516,0.6549096554097995,0.708738381531037,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.7866808199126956,0.758031732001355,0.8098857982267796,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.8013071925707267,0.762968661174388,0.8325554490509167,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.5153993472456933,0.46239106138795616,0.5659978446563084,75,75,75,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.634053292075793,0.5800764931490023,0.6841190210133791,75,75,75,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.5815630361437798,0.5076701080178221,0.6520791315014164,75,75,75,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.7508527177851647,0.7346299476164859,0.7630591937340796,128,128,128,128,,5000,5000,1.0,3021694564,20260901,11,dog,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.8281186106614769,0.812807839573361,0.8390803580987267,128,128,128,128,,5000,5000,1.0,3021694564,20260901,11,dog,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.8444441123865545,0.8255998697248288,0.8578530139289796,128,128,128,128,,5000,5000,1.0,3021694564,20260901,11,dog,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.713665294496319,0.6805873324693757,0.7418818043662778,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.8008128234857246,0.7704309880450556,0.82581086455361,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.8105450545119334,0.769199955105027,0.8462189137416927,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.7320933171400898,0.7051142345966869,0.7535586029291153,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.8180490206730994,0.7933395117325218,0.8368741636605639,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.8360111254610514,0.8040410735497349,0.8584108232471503,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.687341075365463,0.6717742052339436,0.7016771969157324,445,445,445,445,,5000,5000,1.0,3021694564,20260901,14,person,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.778974073288146,0.7650523058408767,0.7918396252896008,445,445,445,445,,5000,5000,1.0,3021694564,20260901,14,person,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.775705207147625,0.7558668424770906,0.7938300454624918,445,445,445,445,,5000,5000,1.0,3021694564,20260901,14,person,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.5429650248850093,0.4925319656269515,0.5919601219651454,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.6543900214573917,0.6032370471296942,0.7022663006493274,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.6497382773195997,0.5806064876125139,0.7162955099234686,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.6881563271346846,0.6421897631399988,0.726655240017071,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.78229322009965,0.7388712306817373,0.8183401563449909,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.7859161007299758,0.7291707685053871,0.8308819919889956,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.595705110165808,0.5550303423528871,0.6331172843856944,90,90,90,90,,5000,5000,1.0,3021694564,20260901,17,sofa,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.7114408433437347,0.6730962503204744,0.7465237983812889,90,90,90,90,,5000,5000,1.0,3021694564,20260901,17,sofa,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.7125424962076876,0.6579940470846163,0.7636055168530179,90,90,90,90,,5000,5000,1.0,3021694564,20260901,17,sofa,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.7459831390352476,0.7275880716208901,0.7592789345199153,84,84,84,84,,5000,5000,1.0,3021694564,20260901,18,train,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.829424201023011,0.8126254249186743,0.8405868678398075,84,84,84,84,,5000,5000,1.0,3021694564,20260901,18,train,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.8459789180862052,0.8259210047799916,0.8576915615193901,84,84,84,84,,5000,5000,1.0,3021694564,20260901,18,train,different_class_other_images
,per_class,all,micro,binary_mask_jaccard,0.675177192768535,0.6308909649633475,0.7150450610127803,74,74,74,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,different_class_other_images
,per_class,all,micro,binary_mask_cosine,0.7671655456762057,0.7265262646952997,0.8029143257922418,74,74,74,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,different_class_other_images
,per_class,all,micro,relu_token_cosine,0.7632037192784451,0.7065555784071016,0.813248254346183,74,74,74,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,different_class_other_images
,all_rows,all,micro,binary_mask_jaccard,0.5205403559611246,0.5005037547886637,0.5419380897409009,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,all_rows,all,micro,binary_mask_cosine,0.6362360790995388,0.6162819269845441,0.6570995207588517,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,all_rows,all,micro,relu_token_cosine,0.5998037335627151,0.5719306629435147,0.6292089112542907,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,all_rows,all,macro_class,binary_mask_jaccard,0.5163582847763284,0.4936113978755065,0.5410681127437387,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,all_rows,all,macro_class,binary_mask_cosine,0.6289866973041701,0.6056994093880728,0.6542587689533846,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,all_rows,all,macro_class,relu_token_cosine,0.5937177192902349,0.5628775055789152,0.6270219532343756,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,,positive_classes_same_image
,per_class,all,micro,binary_mask_jaccard,0.4625373315735287,0.3029139857595102,0.6167270313362845,17,17,19,19,,5000,5000,1.0,3021694564,20260901,0,aeroplane,positive_classes_same_image
,per_class,all,micro,binary_mask_cosine,0.5642994507571361,0.40286265760522083,0.717423642620704,17,17,19,19,,5000,5000,1.0,3021694564,20260901,0,aeroplane,positive_classes_same_image
,per_class,all,micro,relu_token_cosine,0.48244009239812113,0.27702944059719026,0.6814296695780802,17,17,19,19,,5000,5000,1.0,3021694564,20260901,0,aeroplane,positive_classes_same_image
