relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,presence
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,3.893731960599182e-14,3.260261468093892e-14,4.5609875460380876e-14,1346,1346,1346,1346,,5000,5000,1.0,3021694564,20260901,2,bird,absent
,per_class,all,micro,positive_channel_fraction,0.38888511624384725,0.38801701273836775,0.3898440908708257,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,positive_contribution_mass,2437.2520052287227,2423.8445448349767,2449.8650811421844,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,negative_contribution_mass,5192.9953734287765,5156.134499346387,5228.857794592808,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,positive_negative_mass_ratio,0.47583035402914364,0.4715412358218397,0.48139601481122085,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,native_class_logit,-7.17641520580262,-7.240810957330785,-7.106930738303354,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,3.8906987854982975e-14,3.236349298775434e-14,4.547112303407101e-14,1377,1377,1377,1377,,5000,5000,1.0,3021694564,20260901,3,boat,absent
,per_class,all,micro,positive_channel_fraction,0.3880593379558851,0.386888954291741,0.3892950180149792,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,positive_contribution_mass,2381.1154034735096,2349.279854143344,2412.987086022173,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,negative_contribution_mass,4825.444604077166,4749.456216749824,4901.755794947498,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,positive_negative_mass_ratio,0.5094924962088874,0.5040222657620026,0.5156950170200397,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,native_class_logit,-6.365440803365913,-6.486452580855627,-6.243841312137685,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,5.056249416037136e-14,4.3440786813998324e-14,5.781024012949562e-14,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
,per_class,all,micro,positive_channel_fraction,0.3804943283362822,0.3797026142426513,0.3812822545555505,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,positive_contribution_mass,2582.5882493896484,2565.032220068637,2599.4975073838664,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,negative_contribution_mass,5558.55851229581,5512.186421595348,5604.679646528764,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,positive_negative_mass_ratio,0.46935020913861014,0.46666484839780764,0.47229958598288624,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,native_class_logit,-7.749922796964645,-7.831289015591416,-7.668929584309188,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,8.367609635487579e-14,7.441578666409689e-14,9.309918492693793e-14,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
,per_class,all,micro,positive_channel_fraction,0.3909579178433916,0.38958683989930804,0.39242945955488573,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,positive_contribution_mass,2206.6716988083094,2177.7922053148095,2235.0822400703373,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,negative_contribution_mass,4524.7054459980145,4451.36511506212,4597.595389151754,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,positive_negative_mass_ratio,0.5113536125322333,0.5039672742435728,0.5196176876323847,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,native_class_logit,-6.036546390554368,-6.157344678549854,-5.915436172120854,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,3.795652647456753e-14,3.188305225816123e-14,4.422349190494784e-14,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
,per_class,all,micro,positive_channel_fraction,0.37921758522664695,0.3784108318769394,0.3800948274101978,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,positive_contribution_mass,2568.0280558650657,2549.970798230853,2585.8060996183235,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,negative_contribution_mass,5362.675428118025,5315.451886844492,5410.737726238509,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,positive_negative_mass_ratio,0.48427754483724894,0.4806671267266112,0.4890439735649896,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,native_class_logit,-7.277727730919544,-7.362370274651767,-7.195814532133421,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,5.641602473403502e-14,4.889175113219649e-14,6.436555549201268e-14,1330,1330,1330,1330,,5000,5000,1.0,3021694564,20260901,7,cat,absent
,per_class,all,micro,positive_channel_fraction,0.3894977164124651,0.38766723828527905,0.3914970432476985,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,positive_contribution_mass,2270.9368156329538,2232.854702521162,2307.563270711539,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,negative_contribution_mass,4575.87969593261,4486.309700191722,4662.9946065957365,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,positive_negative_mass_ratio,0.5323639775922755,0.5215155123961952,0.5439137940397584,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,native_class_logit,-6.0024555554363435,-6.138889038899203,-5.8621641556569415,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,4.1365268843892105e-14,3.520006475004153e-14,4.8328828788753674e-14,1326,1326,1326,1326,,5000,5000,1.0,3021694564,20260901,8,chair,absent
,per_class,all,micro,positive_channel_fraction,0.3826424264077351,0.38157657015100876,0.38385762551580443,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,positive_contribution_mass,2432.2782003460843,2411.3876543479664,2451.8798603439886,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,negative_contribution_mass,5322.998609390591,5271.400995738966,5371.38722648676,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,positive_negative_mass_ratio,0.4674607807518955,0.4608141085211355,0.4755589172963177,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,native_class_logit,-7.5279179855813485,-7.611485199626476,-7.44276363066518,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,D_logit_minus_pos_minus_neg_abs_error,7.548872025782196e-14,6.699108289546605e-14,8.42338616210232e-14,1378,1378,1378,1378,,5000,5000,1.0,3021694564,20260901,9,cow,absent
,per_class,all,micro,positive_channel_fraction,0.37937250815798274,0.37830733964341695,0.3805040602947774,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
,per_class,all,micro,positive_contribution_mass,2561.8026796476984,2537.0638106033794,2586.8619645292233,1374,1374,1374,1374,,5000,5000,1.0,3021694564,20260901,10,diningtable,absent
