relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,transform,transform_kind
,all_rows,exactly_2_labels,micro,s_pos_map_spearman,0.9263113984216726,0.9083795290079324,0.9420342990009373,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,micro,s_pos_top10_jaccard,0.8135512173227708,0.7998859416464497,0.8267947134810211,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,micro,s_pos_normalized_l1,0.6264618448594599,0.5818757755194703,0.6721642224885532,375,375,750,750,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_bg,0.5604644243676291,0.5426386717295657,0.577854180587839,367,375,683,750,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,micro,s_pos_auc_target_other,0.5491080867300565,0.5372485778316026,0.5620347395370727,322,375,644,750,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_last_max_abs_error,4.0309250047407066e-11,3.9695238635894534e-11,4.091597816771928e-11,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,readout_max_abs_error,3.97496265018236e-15,3.893197999670615e-15,4.0592770932948895e-15,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_pos_map_spearman,0.9273207733708733,0.9049604393352563,0.9460663905703882,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_pos_top10_jaccard,0.8070019178430556,0.7893610526625445,0.8233356212600818,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_pos_normalized_l1,0.607255110773947,0.5618271523207928,0.6554476660521324,375,375,750,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_pos_auc_target_bg,0.5404268100971918,0.518652118621819,0.5640836372769096,367,375,683,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,exactly_2_labels,macro_class,s_pos_auc_target_other,0.5683939942320694,0.5359510706715055,0.6009078995922144,322,375,644,750,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_last_max_abs_error,4.060603579149601e-11,3.973013349828861e-11,4.1489819921815783e-11,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,readout_max_abs_error,3.9363311664582145e-15,3.832484513160265e-15,4.048263870049498e-15,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_pos_map_spearman,0.8906365767728296,0.8665883766918483,0.9132328142276793,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_pos_top10_jaccard,0.7739404564530092,0.7540744823557893,0.7927558538297237,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_pos_normalized_l1,0.7098154709714151,0.6606397283459152,0.7599924917468948,147,147,470,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_pos_auc_target_bg,0.5480087124111082,0.5254316669188309,0.5716616468549912,145,147,409,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,micro,s_pos_auc_target_other,0.5592155459302907,0.5410489971813527,0.577353758991896,140,147,408,470,,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_last_max_abs_error,4.0520288768821965e-11,3.9528624942570284e-11,4.147136787277733e-11,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,readout_max_abs_error,4.027020954736305e-15,3.865546372462241e-15,4.200282126198103e-15,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_pos_map_spearman,0.9083114508475225,0.8867715480451623,0.92644600463592,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_pos_top10_jaccard,0.7708159119181592,0.7495813522057864,0.7973981411886261,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_pos_normalized_l1,0.7531945870768645,0.6741353386779843,0.8572310751633146,147,147,470,470,20,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_pos_auc_target_bg,0.550881575690293,0.5155647975025316,0.5878387135666848,145,147,409,470,19,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,3plus_labels,macro_class,s_pos_auc_target_other,0.5980931541624247,0.5462209415589766,0.6329949897101831,140,147,408,470,19,5000,5000,1.0,3021694564,20260901,,,haar_00,haar
,all_rows,all,micro,s_last_max_abs_error,4.190453418201286e-11,4.162864237607948e-11,4.217702326165029e-11,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,readout_max_abs_error,6.225936290864874e-15,6.177225747533054e-15,6.274618921812172e-15,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_pos_map_spearman,0.9394258113316323,0.9303591133140451,0.9480931301102806,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_pos_top10_jaccard,0.8188627639818931,0.8115432573915217,0.8262415544790696,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_pos_normalized_l1,0.5536716247176975,0.5324895577963065,0.5760101356908905,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_pos_auc_target_bg,0.559773693423914,0.549227569515143,0.5704055278129145,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,micro,s_pos_auc_target_other,0.5515374837492173,0.5412054394560851,0.562400562639307,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_last_max_abs_error,4.191987196180766e-11,4.164272530827182e-11,4.219512739426116e-11,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,readout_max_abs_error,6.223318206709176e-15,6.175413670553545e-15,6.271683913372155e-15,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_pos_map_spearman,0.93992177363049,0.9305355288357768,0.9487766152625289,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_pos_top10_jaccard,0.811000711563661,0.8032290765053648,0.8186478659049954,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_pos_normalized_l1,0.5445741247378535,0.5264050909684481,0.5633256583006307,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_pos_auc_target_bg,0.5502616356925214,0.540759079686514,0.5595902694504421,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,all,macro_class,s_pos_auc_target_other,0.5639408261987112,0.5368185817089484,0.591885444741295,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
,all_rows,single_label,micro,s_last_max_abs_error,4.19132833438398e-11,4.16189484888971e-11,4.221747841642307e-11,927,927,927,927,,5000,5000,1.0,3021694564,20260901,,,haar_01,haar
