relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,signal,region
,all_rows,3plus_labels,macro_class,q75,0.5793496746568565,0.5629034815644316,0.5970399643426523,145,147,464,470,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,per_class,all,micro,mean,0.39255924324610786,0.378550378540734,0.4070270375304105,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,background
,per_class,all,micro,median,0.4026678305533197,0.3881862527256211,0.41774432856175636,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,background
,per_class,all,micro,q25,0.31153877572053007,0.2959514967072755,0.32706406305337116,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,background
,per_class,all,micro,q75,0.4768932411240207,0.4605487078138523,0.4936381048191753,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,background
,per_class,all,micro,mean,0.5049244773669854,0.4904682750788382,0.5197982765985797,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,background
,per_class,all,micro,median,0.49735855848728855,0.4786796280147531,0.5164235156925419,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,background
,per_class,all,micro,q25,0.3961931749989715,0.3788220642464636,0.4134370361702352,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,background
,per_class,all,micro,q75,0.6145895666713956,0.5950499755436485,0.6333488699284536,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,background
,per_class,all,micro,mean,0.41092661802587627,0.3935975524618963,0.4288339224403763,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,background
,per_class,all,micro,median,0.41247789923427175,0.38993834134155103,0.43545727616953617,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,background
,per_class,all,micro,q25,0.29077725933448784,0.27014662614092233,0.3114640598908718,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,background
,per_class,all,micro,q75,0.5296489475566206,0.5085103935408362,0.550997244304462,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,background
,per_class,all,micro,mean,0.4511620417901417,0.4295735035156915,0.4737862378540049,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,background
,per_class,all,micro,median,0.46692589132322204,0.4408410095764945,0.4941800607885751,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,background
,per_class,all,micro,q25,0.354474267611901,0.3306145846300448,0.37940407508415064,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,background
,per_class,all,micro,q75,0.560918422933254,0.5352402432071458,0.5876312458628996,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,background
,per_class,all,micro,mean,0.4155592166542583,0.3976509471634061,0.4334609928190608,93,96,93,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,background
,per_class,all,micro,median,0.4090982383938246,0.38756223234316123,0.43036545155079736,93,96,93,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,background
,per_class,all,micro,q25,0.3229262486741107,0.302584492983891,0.3438167216077283,93,96,93,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,background
,per_class,all,micro,q75,0.49917996017843164,0.476500832680012,0.5220687598131106,93,96,93,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,background
,per_class,all,micro,mean,0.48928557835634634,0.47265992717036515,0.506027131081682,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,c_sign,background
,per_class,all,micro,median,0.49944688883182164,0.48059354447633834,0.5184538501642041,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,c_sign,background
,per_class,all,micro,q25,0.42173077226490585,0.4046962588471738,0.439209006991036,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,c_sign,background
,per_class,all,micro,q75,0.565266144839493,0.5451978985723611,0.5848761047664526,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,c_sign,background
,per_class,all,micro,mean,0.5077388334877657,0.49268621644799737,0.5224711659892312,127,127,127,127,,5000,5000,1.0,3021694564,20260901,6,car,c_sign,background
,per_class,all,micro,median,0.5185339467262658,0.5014299737098883,0.5354314395292536,127,127,127,127,,5000,5000,1.0,3021694564,20260901,6,car,c_sign,background
,per_class,all,micro,q25,0.41563649082512366,0.39887400840475096,0.43214627381443504,127,127,127,127,,5000,5000,1.0,3021694564,20260901,6,car,c_sign,background
,per_class,all,micro,q75,0.6128054290540575,0.5943142200724816,0.6308771106524494,127,127,127,127,,5000,5000,1.0,3021694564,20260901,6,car,c_sign,background
,per_class,all,micro,mean,0.4143086854965377,0.3942293313977243,0.43418901307686625,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,c_sign,background
,per_class,all,micro,median,0.4064015458313237,0.38219863763079776,0.4301241901458093,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,c_sign,background
,per_class,all,micro,q25,0.2824815507088087,0.2612050953269914,0.30395899915390184,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,c_sign,background
,per_class,all,micro,q75,0.5403411858014565,0.5143479018775934,0.5665295632442665,113,119,113,119,,5000,5000,1.0,3021694564,20260901,7,cat,c_sign,background
,per_class,all,micro,mean,0.45431396295136434,0.4418037262187398,0.46704672781809753,122,123,122,123,,5000,5000,1.0,3021694564,20260901,8,chair,c_sign,background
,per_class,all,micro,median,0.45775062065632616,0.44348806959156956,0.4721246801518623,122,123,122,123,,5000,5000,1.0,3021694564,20260901,8,chair,c_sign,background
,per_class,all,micro,q25,0.3738160996285618,0.3609619548522136,0.38649762682177424,122,123,122,123,,5000,5000,1.0,3021694564,20260901,8,chair,c_sign,background
,per_class,all,micro,q75,0.5398598844643498,0.5235760319003853,0.5566674868879347,122,123,122,123,,5000,5000,1.0,3021694564,20260901,8,chair,c_sign,background
,per_class,all,micro,mean,0.38474363472103157,0.36410453536783766,0.40604318646594506,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,c_sign,background
,per_class,all,micro,median,0.38739896618144615,0.3648496048393804,0.41003114483515984,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,c_sign,background
,per_class,all,micro,q25,0.3196592407537178,0.30024990836997895,0.3392108693404097,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,c_sign,background
,per_class,all,micro,q75,0.4539822990625677,0.4291234258037638,0.4795717724402186,71,71,71,71,,5000,5000,1.0,3021694564,20260901,9,cow,c_sign,background
,per_class,all,micro,mean,0.48467357608464945,0.47171965602360355,0.49741929109568633,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,c_sign,background
,per_class,all,micro,median,0.4911581563622984,0.47590499932111213,0.506152130727529,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,c_sign,background
,per_class,all,micro,q25,0.40743723521902137,0.392392071485811,0.422110793945279,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,c_sign,background
,per_class,all,micro,q75,0.5695275705154628,0.5519598288513307,0.5866566957754863,73,75,73,75,,5000,5000,1.0,3021694564,20260901,10,diningtable,c_sign,background
,per_class,all,micro,mean,0.535351382391146,0.5210463977711816,0.5497094401149911,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,c_sign,background
,per_class,all,micro,median,0.5632828399538994,0.5462596471087724,0.5802372229161594,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,c_sign,background
,per_class,all,micro,q25,0.4620788646561484,0.4443181047745458,0.4805453783036836,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,c_sign,background
,per_class,all,micro,q75,0.641667426774098,0.6258673337766022,0.6572341706048698,124,128,124,128,,5000,5000,1.0,3021694564,20260901,11,dog,c_sign,background
,per_class,all,micro,mean,0.4498598177853911,0.4308153684746347,0.46833422211964776,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,c_sign,background
,per_class,all,micro,median,0.454579235443586,0.43261297682795347,0.4758732501653176,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,c_sign,background
,per_class,all,micro,q25,0.3611413697841801,0.34094341602176426,0.38098837746472297,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,c_sign,background
,per_class,all,micro,q75,0.5444244866884207,0.5217046096307945,0.5665009303584317,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,c_sign,background
,per_class,all,micro,mean,0.5340697079279695,0.5155838854573063,0.552204670754072,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,c_sign,background
,per_class,all,micro,median,0.5454571498067755,0.5231567914450639,0.5673321463559804,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,c_sign,background
,per_class,all,micro,q25,0.421434004742064,0.3995544196302561,0.4430872492394165,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,c_sign,background
,per_class,all,micro,q75,0.6543544387738955,0.6332447184641895,0.6738170822151006,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,c_sign,background
,per_class,all,micro,mean,0.5130292167931029,0.5050253142500991,0.5208344819683314,441,445,441,445,,5000,5000,1.0,3021694564,20260901,14,person,c_sign,background
,per_class,all,micro,median,0.5245451589628142,0.5149418173858448,0.5338472324251676,441,445,441,445,,5000,5000,1.0,3021694564,20260901,14,person,c_sign,background
,per_class,all,micro,q25,0.4205486680932191,0.4113019737022567,0.42964375237489794,441,445,441,445,,5000,5000,1.0,3021694564,20260901,14,person,c_sign,background
,per_class,all,micro,q75,0.6170131887505654,0.6073333839009191,0.6261539907104064,441,445,441,445,,5000,5000,1.0,3021694564,20260901,14,person,c_sign,background
,per_class,all,micro,mean,0.4769872962980311,0.4594212006724047,0.4947013182379747,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,c_sign,background
,per_class,all,micro,median,0.47996743531788094,0.4589782887609566,0.5009318701002528,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,c_sign,background
,per_class,all,micro,q25,0.3882502054466921,0.3683122273008613,0.4076660747015301,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,c_sign,background
,per_class,all,micro,q75,0.5681124229641522,0.5459327966325423,0.5897722093629486,85,85,85,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,c_sign,background
,per_class,all,micro,mean,0.4093746287048042,0.3926723480725961,0.42673294014125046,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,c_sign,background
,per_class,all,micro,median,0.41551776936179713,0.39686472762964276,0.4351165011721222,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,c_sign,background
,per_class,all,micro,q25,0.3451759114600064,0.32849624550721623,0.3625150684888164,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,c_sign,background
,per_class,all,micro,q75,0.47772415034603655,0.45844814079372503,0.49789239930544504,57,57,57,57,,5000,5000,1.0,3021694564,20260901,16,sheep,c_sign,background
,per_class,all,micro,mean,0.5092177370751152,0.4927518157348184,0.525153330753965,85,90,85,90,,5000,5000,1.0,3021694564,20260901,17,sofa,c_sign,background
,per_class,all,micro,median,0.5254993183647885,0.5057571703092186,0.5449938011722721,85,90,85,90,,5000,5000,1.0,3021694564,20260901,17,sofa,c_sign,background
,per_class,all,micro,q25,0.42218744684668147,0.40447037381311524,0.43953732996918804,85,90,85,90,,5000,5000,1.0,3021694564,20260901,17,sofa,c_sign,background
,per_class,all,micro,q75,0.6145639459876453,0.593174529378844,0.6363717005464686,85,90,85,90,,5000,5000,1.0,3021694564,20260901,17,sofa,c_sign,background
,per_class,all,micro,mean,0.4311034078660354,0.41855116012015026,0.44394808739241215,83,84,83,84,,5000,5000,1.0,3021694564,20260901,18,train,c_sign,background
,per_class,all,micro,median,0.44206097973398417,0.4279970010126591,0.4567015515932118,83,84,83,84,,5000,5000,1.0,3021694564,20260901,18,train,c_sign,background
,per_class,all,micro,q25,0.35125332612948246,0.3362068731849933,0.3663270069374924,83,84,83,84,,5000,5000,1.0,3021694564,20260901,18,train,c_sign,background
,per_class,all,micro,q75,0.518866349954203,0.5058691471875142,0.5323500115100973,83,84,83,84,,5000,5000,1.0,3021694564,20260901,18,train,c_sign,background
,per_class,all,micro,mean,0.49008360723545197,0.4709042396106807,0.5074490121756224,73,74,73,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,c_sign,background
,per_class,all,micro,median,0.499645141604012,0.47707563480574927,0.520428409368882,73,74,73,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,c_sign,background
,per_class,all,micro,q25,0.3811062592757891,0.3616621893453034,0.3983787092603219,73,74,73,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,c_sign,background
,per_class,all,micro,q75,0.6083440747979569,0.5817848889207518,0.6342093093670859,73,74,73,74,,5000,5000,1.0,3021694564,20260901,19,tvmonitor,c_sign,background
,all_rows,all,micro,mean,0.5436126765620461,0.5261568090554252,0.5607169558241811,304,1449,464,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,micro,median,0.5448717432225059,0.5270890134351217,0.5622302742783086,304,1449,464,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,micro,q25,0.5324400040754599,0.5151289206632222,0.5494625258625879,304,1449,464,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,micro,q75,0.5564285922747362,0.5388013511697367,0.5740725142696634,304,1449,464,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,macro_class,mean,0.5231535359091584,0.5079655530885454,0.5389920397678526,304,1449,464,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,macro_class,median,0.5242183772266783,0.50858319337155,0.540608199012922,304,1449,464,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,macro_class,q25,0.5125319008193353,0.4972146735460991,0.5285751309691902,304,1449,464,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,all,macro_class,q75,0.5352972416492697,0.5194772326932579,0.5519969902789341,304,1449,464,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,micro,mean,0.50050444929855,0.47546146950971924,0.5257911043031267,179,927,179,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,micro,median,0.5005037227239688,0.475257724531532,0.5260211629709984,179,927,179,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,micro,q25,0.4909163394828415,0.46572282170456475,0.5166875451733832,179,927,179,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,micro,q75,0.5109770717359455,0.4854626047486706,0.5366538618958886,179,927,179,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,macro_class,mean,0.5080073297267086,0.48233919670084974,0.5308742401579265,179,927,179,927,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,macro_class,median,0.5076335873372165,0.4816812765146999,0.5305511729115426,179,927,179,927,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,macro_class,q25,0.4994740561252986,0.47330317203616523,0.5223281938003689,179,927,179,927,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,single_label,macro_class,q75,0.5172663145488424,0.4916807773250358,0.5402508512736747,179,927,179,927,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,micro,mean,0.5685980861292648,0.5408074558662747,0.5970033587067322,89,375,178,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,micro,median,0.5700769110090946,0.5413193693462326,0.5994183670890736,89,375,178,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,micro,q25,0.5559533456068361,0.5279120199155578,0.5849378532855615,89,375,178,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,micro,q75,0.5827819205653132,0.5538411721832915,0.6125428899218082,89,375,178,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,macro_class,mean,0.5295282892309755,0.5062370191885487,0.5639060536529514,89,375,178,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,macro_class,median,0.5307249421119142,0.5065814951353069,0.5657124506394854,89,375,178,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,macro_class,q25,0.5183628273522951,0.4946610529740981,0.5518552166728119,89,375,178,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,exactly_2_labels,macro_class,q75,0.5418213340599618,0.5184280452585011,0.5780676597726591,89,375,178,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,micro,mean,0.5741637959751384,0.5370451200023407,0.6111243716594019,36,147,107,470,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,micro,median,0.5771647881124621,0.5384026402008852,0.6157348231291946,36,147,107,470,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,micro,q25,0.5627891738838124,0.5262262183450025,0.5993519365621395,36,147,107,470,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,micro,q75,0.588624197328202,0.5474471274906307,0.6295122953560905,36,147,107,470,,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,macro_class,mean,0.5467929549500075,0.5155685954264948,0.5962227272970422,36,147,107,470,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,macro_class,median,0.5491237508999821,0.5167976845927615,0.6012906236853783,36,147,107,470,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,macro_class,q25,0.5368331556622894,0.505654805590672,0.5825236459382233,36,147,107,470,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,all_rows,3plus_labels,macro_class,q75,0.5593335087213827,0.5255205606429884,0.6151755315403814,36,147,107,470,19,5000,5000,1.0,3021694564,20260901,,,c_sign,mixed
,per_class,all,micro,mean,0.4399211882340788,0.3684986126905314,0.505683047032816,22,90,22,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,mixed
,per_class,all,micro,median,0.43947146087884903,0.3679281881266815,0.5049581387651745,22,90,22,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,mixed
,per_class,all,micro,q25,0.43098715387962083,0.3600161860269823,0.49630598571935763,22,90,22,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,mixed
,per_class,all,micro,q75,0.44898219711401244,0.37626400279502076,0.5156558564871101,22,90,22,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,c_sign,mixed
,per_class,all,micro,mean,0.6684034185277091,0.6207117944328409,0.7149667451648336,18,79,18,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,mixed
,per_class,all,micro,median,0.6692881402042177,0.621805407512519,0.7161581842508166,18,79,18,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,mixed
,per_class,all,micro,q25,0.6595862325694826,0.6119162913735368,0.7071296459329979,18,79,18,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,mixed
,per_class,all,micro,q75,0.6782868802547455,0.6289446997047778,0.7263373562833294,18,79,18,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,c_sign,mixed
,per_class,all,micro,mean,0.3593302901302065,0.30008311154586925,0.41782701801169997,14,103,14,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,mixed
,per_class,all,micro,median,0.3593302901302065,0.30008311154586925,0.41782701801169997,14,103,14,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,mixed
,per_class,all,micro,q25,0.3567911476961204,0.2987458332338267,0.41526484395532554,14,103,14,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,mixed
,per_class,all,micro,q75,0.36186943256429266,0.30205658711493016,0.4216915682413512,14,103,14,103,,5000,5000,1.0,3021694564,20260901,2,bird,c_sign,mixed
,per_class,all,micro,mean,0.5259117579041155,0.45667743642601843,0.5948255779339917,21,72,21,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,mixed
,per_class,all,micro,median,0.5272675731352398,0.45806609393407904,0.5964891518404086,21,72,21,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,mixed
,per_class,all,micro,q25,0.5105516804116113,0.4366374245921717,0.5846412199413559,21,72,21,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,mixed
,per_class,all,micro,q75,0.5425284969664755,0.4733639915074621,0.6103421439431489,21,72,21,72,,5000,5000,1.0,3021694564,20260901,3,boat,c_sign,mixed
,per_class,all,micro,mean,0.49379390268995044,0.43745815073940847,0.5538695457814767,19,96,19,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,mixed
,per_class,all,micro,median,0.4950545375284396,0.43836834093289717,0.5553442851097012,19,96,19,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,mixed
,per_class,all,micro,q25,0.4865480869224197,0.43020306930566826,0.545952954637466,19,96,19,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,mixed
,per_class,all,micro,q75,0.5022406801581383,0.4438875944924851,0.5623428375005048,19,96,19,96,,5000,5000,1.0,3021694564,20260901,4,bottle,c_sign,mixed
