relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,presence
s_last,per_class,all,micro,max_score,10558.801440958614,10269.960978387606,10852.354269273143,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
s_last,per_class,all,micro,top10_mean_score,3917.8292788697568,3764.204738368957,4066.8821167801134,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
s_last,per_class,all,micro,spatial_entropy,0.0005348497292629916,0.00021125628484730614,0.0009437553421287352,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
s_last,per_class,all,micro,foreground_mass,0.3902490103195529,0.36511418645751587,0.4161175152014661,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
s_last,per_class,all,micro,background_mass,0.5698445072099899,0.5432374558521453,0.5957129369714741,1353,1353,1353,1353,,5000,5000,1.0,3021694564,20260901,4,bottle,absent
s_last,per_class,all,micro,max_score,11595.322810685591,11357.188326438349,11835.617195820201,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
s_last,per_class,all,micro,top10_mean_score,4385.861234564587,4248.907957754197,4530.683122656747,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
s_last,per_class,all,micro,spatial_entropy,0.0004704917308842886,0.00013002802154612103,0.0009104026897981249,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
s_last,per_class,all,micro,foreground_mass,0.3728122913458058,0.34709998284070664,0.3979954363400864,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
s_last,per_class,all,micro,background_mass,0.5852550549738756,0.5591305678737983,0.6110736136926163,1375,1375,1375,1375,,5000,5000,1.0,3021694564,20260901,5,bus,absent
s_last,per_class,all,micro,max_score,9645.302950554644,9387.765753063744,9908.684828397258,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
s_last,per_class,all,micro,top10_mean_score,3745.069307074141,3609.668697732338,3882.560964603597,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
s_last,per_class,all,micro,spatial_entropy,0.00029155757417599924,0.00011308613007216325,0.0005311145859496543,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
s_last,per_class,all,micro,foreground_mass,0.3714164883595005,0.34576159334519313,0.39782308688332,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
s_last,per_class,all,micro,background_mass,0.5877362713216744,0.5613592107092185,0.6134263553713877,1322,1322,1322,1322,,5000,5000,1.0,3021694564,20260901,6,car,absent
