relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,term
,all_rows,3plus_labels,macro_class,other_fg_mean,-142.93329218483694,-205.03035011442788,-59.9064287398268,147,147,463,470,20,5000,5000,1.0,3021694564,20260901,,,s_last
,all_rows,3plus_labels,macro_class,bg_mean,52.526509678641204,-1.3277103928419882,100.90578030611371,145,147,464,470,20,5000,5000,1.0,3021694564,20260901,,,s_last
,all_rows,3plus_labels,macro_class,auc_target_bg,0.5488272800925482,0.5131589899824549,0.5865927465175419,145,147,409,470,19,5000,5000,1.0,3021694564,20260901,,,s_last
,all_rows,3plus_labels,macro_class,auc_target_other,0.5986809769621955,0.5457606690294499,0.6323829899478502,140,147,408,470,19,5000,5000,1.0,3021694564,20260901,,,s_last
,per_class,all,micro,target_mean,-93.40368694186215,-240.71218043650512,35.58333568589328,87,90,87,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last
,per_class,all,micro,other_fg_mean,-91.95796408663387,-728.8438813546268,358.7816749965582,13,90,13,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last
,per_class,all,micro,bg_mean,-267.07767123918813,-350.2223642296424,-184.2646470690141,90,90,90,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last
,per_class,all,micro,auc_target_bg,0.5831334346873576,0.5412839534368474,0.6236162660214405,87,90,87,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last
,per_class,all,micro,auc_target_other,0.5780731436421543,0.4129732979641445,0.7341739530767412,12,90,12,90,,5000,5000,1.0,3021694564,20260901,0,aeroplane,s_last
,per_class,all,micro,target_mean,717.5276996233265,610.1661642417276,821.6566803330722,71,79,71,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last
,per_class,all,micro,other_fg_mean,142.11268505644753,-11.288491485455546,286.73719319079544,48,79,48,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last
,per_class,all,micro,bg_mean,156.08952668540675,100.32501954818699,209.19437530091588,79,79,79,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last
,per_class,all,micro,auc_target_bg,0.7248480755799304,0.6871985441882137,0.7601299986334646,71,79,71,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last
,per_class,all,micro,auc_target_other,0.7172814350979858,0.6603909803565765,0.7753147497050179,41,79,41,79,,5000,5000,1.0,3021694564,20260901,1,bicycle,s_last
,per_class,all,micro,target_mean,-416.9555458629182,-635.0920216231598,-199.75627168526248,99,103,99,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last
,per_class,all,micro,other_fg_mean,120.37745884613906,-379.64199845727745,683.5452003893932,9,103,9,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last
,per_class,all,micro,bg_mean,-492.72034577370977,-656.8859176571111,-335.2159276810694,103,103,103,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last
,per_class,all,micro,auc_target_bg,0.48395134105032894,0.44507749783448664,0.523389178068749,99,103,99,103,,5000,5000,1.0,3021694564,20260901,2,bird,s_last
,per_class,all,micro,auc_target_other,0.48008363713307595,0.2957513263124907,0.7587830921532336,5,103,5,103,,5000,4969,0.9938,3021694564,20260901,2,bird,s_last
,per_class,all,micro,target_mean,-85.19336501399135,-270.5675195437865,110.82057497644655,69,72,69,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last
,per_class,all,micro,other_fg_mean,-307.1425395139519,-541.5364114964367,-74.49163285873593,17,72,17,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last
,per_class,all,micro,bg_mean,-254.00011054138395,-360.0369046562729,-149.15943832554026,72,72,72,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last
,per_class,all,micro,auc_target_bg,0.524059661839509,0.4645256803922412,0.5837733577768689,69,72,69,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last
,per_class,all,micro,auc_target_other,0.5943842830994251,0.46780437740849434,0.7130778266139266,15,72,15,72,,5000,5000,1.0,3021694564,20260901,3,boat,s_last
,per_class,all,micro,target_mean,53.66816947780745,-77.56800040164724,182.75191510222487,87,96,87,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last
,per_class,all,micro,other_fg_mean,-51.5502506532231,-157.52983721835113,48.930722261393356,60,96,60,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last
,per_class,all,micro,bg_mean,-260.99305926557565,-369.3008950677204,-161.67571125505438,93,96,93,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last
,per_class,all,micro,auc_target_bg,0.5948317387000813,0.5448115003930093,0.6469689712171842,84,96,84,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last
,per_class,all,micro,auc_target_other,0.5044726837775904,0.4230338787767687,0.5860591891992879,51,96,51,96,,5000,5000,1.0,3021694564,20260901,4,bottle,s_last
,per_class,all,micro,target_mean,67.88791682448567,-5.752898629589155,151.9041394156572,73,74,73,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last
,per_class,all,micro,other_fg_mean,-220.91786610669078,-369.81040515161584,-79.11178632341868,34,74,34,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last
,per_class,all,micro,bg_mean,184.78332775364257,133.22933671231448,235.08795333840885,74,74,74,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last
,per_class,all,micro,auc_target_bg,0.4098677122808538,0.370059007844464,0.45109787766219944,73,74,73,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last
,per_class,all,micro,auc_target_other,0.6901802729717306,0.6198520916554421,0.7585018455338338,33,74,33,74,,5000,5000,1.0,3021694564,20260901,5,bus,s_last
,per_class,all,micro,target_mean,198.2083724695432,138.8682145294529,259.05056821957186,113,127,113,127,,5000,5000,1.0,3021694564,20260901,6,car,s_last
,per_class,all,micro,other_fg_mean,41.3202172445276,-62.204032847037745,138.71236538774582,79,127,79,127,,5000,5000,1.0,3021694564,20260901,6,car,s_last
,per_class,all,micro,bg_mean,109.21826196606237,36.930909499860874,172.00072695913119,127,127,127,127,,5000,5000,1.0,3021694564,20260901,6,car,s_last
,per_class,all,micro,auc_target_bg,0.48541699000225075,0.4423533548463664,0.5263399338796386,113,127,113,127,,5000,5000,1.0,3021694564,20260901,6,car,s_last
