relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name
s_last,all_rows,exactly_2_labels,macro_class,shared_target_a_fraction,0.27440172303688154,0.2297931312210306,0.3343168086622012,289,375,289,375,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,exactly_2_labels,macro_class,shared_target_b_fraction,0.30966305186833937,0.24018806734441675,0.3444597852504818,289,375,289,375,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,exactly_2_labels,macro_class,shared_other_fg_fraction,0.00045751633986928104,0.0,0.0016147635524798153,289,375,289,375,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,exactly_2_labels,macro_class,shared_background_fraction,0.41425605872630605,0.37693827764833016,0.47293616223495033,289,375,289,375,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,exactly_2_labels,macro_class,dominant_object_capture,0.5299885530749062,0.4676199286683816,0.567341103376533,289,375,289,375,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,map_spearman,0.22720801306723895,0.13371493029062975,0.3194411992575647,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,top05_jaccard,0.47395075634797323,0.4331612279969737,0.5141504542928081,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,top10_jaccard,0.48645063583379317,0.4451892638007298,0.5263685743215852,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,top20_jaccard,0.5003260411100883,0.4591047117133846,0.540360618822279,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,shared_target_a_fraction,0.15148832754214744,0.12508181817972439,0.1793191157586628,147,147,337,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,shared_target_b_fraction,0.22847483596179025,0.19452750829896495,0.26430863215992706,147,147,337,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,shared_other_fg_fraction,0.1672608907412087,0.14182933616920312,0.19194523129209215,147,147,337,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,shared_background_fraction,0.45030014957932524,0.39055628668157893,0.5091500469575853,147,147,337,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,micro,dominant_object_capture,0.3441744875658034,0.3080553217477055,0.382954963995496,147,147,337,531,,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,map_spearman,0.2053289561102075,0.07272629809879204,0.35256776736042367,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,top05_jaccard,0.46643477920107357,0.41237059019371697,0.5276189471643381,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,top10_jaccard,0.4810267827163372,0.4250624973214962,0.5446425725847139,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,top20_jaccard,0.4946686709585496,0.4380533048969456,0.5572173085949462,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,shared_target_a_fraction,0.17804091814936715,0.1276216486277252,0.2144566764818899,147,147,337,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,shared_target_b_fraction,0.1787094899649323,0.1493531988961985,0.24335655748351803,147,147,337,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,shared_other_fg_fraction,0.11851330977607114,0.09736565786711071,0.15623905852432396,147,147,337,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,shared_background_fraction,0.5224570170003554,0.43742616653873184,0.5789247429675756,147,147,337,531,17,5000,5000,1.0,3021694564,20260901,,
s_last,all_rows,3plus_labels,macro_class,dominant_object_capture,0.32181495810286914,0.2743685970472453,0.3843290757888984,147,147,337,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,map_spearman,0.5223270635031385,0.46444090675100763,0.5819415310689353,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,top05_jaccard,0.594164055155024,0.5650456548492171,0.6247143246286055,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,top10_jaccard,0.6125402055179568,0.5824358661767577,0.6433538725376831,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,top20_jaccard,0.63113143840764,0.6012607774608564,0.6619175018452211,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,all,micro,shared_target_a_fraction,0.197349105755029,0.17486287189101155,0.2210328603176858,466,522,699,906,,5000,5000,1.0,3021694564,20260901,,
