model,class_token_macro_map_percent,patch_head_macro_map_percent,class_token_validation_loss,patch_head_validation_loss
Original MCTformer+,92.90631608285518,93.2576965561305,0.05063256781787359,0.049779508630516944
PatchFinalLN MCTformer+,92.91619025506395,93.31349787399738,0.04924924780657737,0.048790865381723274
Last-MCT (pool before classifier),88.87736946304902,90.15188998405692,0.06330415667687062,0.060058312047095525
Class-Stable LaST Pooling,91.92388121283719,92.2002366525015,0.05409948691838852,0.05338260981339763
