graph,lambda,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B2_feature,1.0,stability,positive,micro,top10_mean_score,0.9175309964287375,0.9171100226367025,0.9179467817908449,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,micro,max_score,0.9976518986166273,0.9975505930949612,0.9977490312962098,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,micro,spatial_entropy,0.9253514952483837,0.9251944851339244,0.9255017173390936,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,micro,high_score_fraction,0.13699857683511063,0.13644332689860297,0.13755861281888118,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,macro_class,mean_score,0.5298057923970486,0.5294917322873609,0.5301218638166191,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,macro_class,top10_mean_score,0.9174367839408972,0.917006952361558,0.9178773273556905,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,macro_class,max_score,0.9976321723929533,0.997515167385289,0.997739296592005,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,macro_class,spatial_entropy,0.9252250593395768,0.9250820077027323,0.9253598019798616,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,stability,positive,macro_class,high_score_fraction,0.13680567039585967,0.13622749843456075,0.13738897348212029,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,micro,mean_score,0.5270690553367005,0.5267043330935443,0.5274480355101124,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,micro,top10_mean_score,0.9195163098929031,0.9193151766711569,0.9197108417789096,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,micro,max_score,0.9976682418818729,0.9976357660544554,0.9976997871755113,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,micro,spatial_entropy,0.9266687280794802,0.9265160167700225,0.9268230194122287,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,micro,high_score_fraction,0.1405265093216515,0.14014217701981171,0.14090594607373885,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,macro_class,mean_score,0.5270937509399758,0.5267271860206767,0.5274729312094839,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,macro_class,top10_mean_score,0.9194994393572886,0.9192967162046866,0.9196957213470718,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,1.0,stability,absent,macro_class,max_score,0.9976680450362506,0.9976356622019966,0.9976996564237746,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
