graph,lambda,score,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,stability,all_positive_classes,all,micro,target_median,0.4064239159892237,0.40177232669355073,0.4110581762931859,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,micro,other_fg_median,0.4791726726260107,0.4735076478360554,0.4846615158490433,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,micro,bg_median,0.5105474115015483,0.5088417279841705,0.5121718077443695,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_hit,0.22051401461258116,0.20182391951006212,0.24012970903228975,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_hit,0.130144787267873,0.11511044406780038,0.14565016406144027,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,background_hit,0.6493411981195457,0.626312629389443,0.6724502563751469,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_top05_fraction,0.22192694607227792,0.2112026824888519,0.23299608810898792,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_top05_fraction,0.12138153336584454,0.11152312934735635,0.13159811571278232,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_top05_fraction,0.6562911124154164,0.6422647009409704,0.6699413788971391,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_tail_enrich_05,0.6946740537515687,0.6705926963862063,0.7190615926028272,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_tail_enrich_05,0.8594349638261658,0.7960437299691954,0.929544200018835,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_tail_enrich_05,1.0340027777480567,1.024311666262175,1.0438500344106005,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_top10_fraction,0.22231023101702144,0.21162874491509362,0.233249593851238,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_top10_fraction,0.12106301025426092,0.11124926836845729,0.13112469470687502,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_top10_fraction,0.6561331371530301,0.6419615046119277,0.6695999549556726,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,target_tail_enrich_10,0.7073937578324232,0.6864206280090687,0.7280341765887757,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,other_fg_tail_enrich_10,0.8466408613044027,0.7969737733464648,0.89602575187487,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,stability,all_positive_classes,all,macro_class,bg_tail_enrich_10,1.0312867321862096,1.0229415749886954,1.039549409263799,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
