graph,lambda,region,location,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,background,boundary,all_positive_classes,3plus_labels,micro,q75_stability,0.6577180048675629,0.651498830379342,0.6639598954759485,145,147,464,470,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,3plus_labels,macro_class,mean_stability,0.5161379684098892,0.510087044539648,0.5263873888469407,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,3plus_labels,macro_class,median_stability,0.4831998914322814,0.4745684083102689,0.49621762024578014,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,3plus_labels,macro_class,q25_stability,0.3523086303763709,0.34695500208512386,0.3618436416819996,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,3plus_labels,macro_class,q75_stability,0.658289382412572,0.6492612978008651,0.672014315071542,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5240608969209053,0.5111072451184411,0.5360383687788824,88,90,88,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.49836945499886165,0.4833473653731386,0.5121095707447364,88,90,88,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3575506821401756,0.34394595189846716,0.3707798431560286,88,90,88,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.671255314510993,0.6528542347796513,0.6880434554565861,88,90,88,90,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5179777948133927,0.5103697827495551,0.5254813314623904,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4863275050734862,0.4756022322050567,0.49689151296337275,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.35645350355368394,0.34642792582936305,0.3668490135682827,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6595899027127486,0.6475864141015879,0.6713816477454345,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5512591864136837,0.5404684338845012,0.5621361870318023,103,103,103,103,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.52643257885882,0.5132982517077217,0.5394223394360647,103,103,103,103,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.39622226780624065,0.38370695358449686,0.4086615657840756,103,103,103,103,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6953159687877859,0.6813552113955171,0.7092067716335787,103,103,103,103,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5070471386902142,0.4931778200241894,0.5213977331353895,71,72,71,72,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.47314708679914474,0.45502500947140717,0.49113994910795655,71,72,71,72,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.34717427624363295,0.3324371461840421,0.3622263285441191,71,72,71,72,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6419163244500966,0.6217338475721185,0.6630051447861122,71,72,71,72,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5088996892356019,0.5010457292732261,0.5168136745385731,93,96,93,96,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.47622347791348735,0.4651909907432506,0.48724920517140696,93,96,93,96,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3478293252247636,0.3382076410169166,0.3573404042196876,93,96,93,96,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6493376326817338,0.6375037903283188,0.6611304654153222,93,96,93,96,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5281753860880112,0.5184816833396849,0.5375008116975655,74,74,74,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4929713343043585,0.48016197348164547,0.5057440386632005,74,74,74,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3709921070651428,0.3611051075236016,0.38091138873903735,74,74,74,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.664853003782195,0.6499438612444981,0.6788558548114992,74,74,74,74,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5157024216793198,0.5060449726098278,0.5248554072033189,126,127,126,127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.48378994930831215,0.47194029746663385,0.49547033659553247,126,127,126,127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3542768494595611,0.3450258942668341,0.3634635355409767,126,127,126,127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6567447459295629,0.6424126859137859,0.670089839835465,126,127,126,127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.49626845834016525,0.48642216736345084,0.5059782620317119,113,119,113,119,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.46092959869224415,0.4481153884183613,0.47330060325735607,113,119,113,119,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3319327419838019,0.32197106021138067,0.3420074452175138,113,119,113,119,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6328385919332504,0.6193098481818176,0.6460532024259618,113,119,113,119,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5044369792559693,0.4964820223266462,0.5120774973349308,122,123,122,123,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4696502867536467,0.459883838764629,0.47923979675095646,122,123,122,123,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3382668664648396,0.33065603985585224,0.3457449637773279,122,123,122,123,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6467557046257082,0.6346346094274148,0.6582696801126195,122,123,122,123,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5052077621994637,0.4920097526917886,0.5178574483313166,71,71,71,71,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.46590220046715,0.4497666028393826,0.48205159808128656,71,71,71,71,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.34678923532786504,0.3338148831678423,0.35976381978597227,71,71,71,71,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6467305641149131,0.6291059073060751,0.6642566614744949,71,71,71,71,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5210973930242024,0.5111579365559269,0.5312099703248053,73,75,73,75,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4902071515991263,0.4766253129805665,0.5045651798872235,73,75,73,75,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.35794710393433704,0.347757851478592,0.36834523350880327,73,75,73,75,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6659641636356916,0.6517393608353828,0.6803645297690398,73,75,73,75,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.49855468294597477,0.4880346203551862,0.5083177421719528,124,128,124,128,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.45922942201216377,0.44649530592707043,0.47133423709389394,124,128,124,128,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.33295677803576956,0.3236900495562753,0.3423775223417561,124,128,124,128,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.6416288486291324,0.6256842082977051,0.655920093404813,124,128,124,128,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5173826151640459,0.5073387660584772,0.5269709121051687,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.48336927669170576,0.4718697921683391,0.4949266449890182,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.35991411126003814,0.3505647533781481,0.3695571680744298,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.652140791217486,0.636244682007312,0.6665737853385508,78,79,78,79,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5157762207287746,0.5061801015595986,0.5248389778710039,76,76,76,76,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,median_stability,0.4808597133347863,0.4691671156373463,0.4922932378898718,76,76,76,76,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q25_stability,0.3574406119357598,0.3474569546892063,0.3667261809992947,76,76,76,76,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,q75_stability,0.65431381644387,0.6405831485839659,0.6678460244481501,76,76,76,76,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,per_class,all,micro,mean_stability,0.5103151010432304,0.5061057564817864,0.514452079693256,439,445,439,445,,5000,5000,1.0,3021694564,20260901
