graph,lambda,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,all_positive_classes,3plus_labels,micro,shared_background_fraction,0.5950446660040233,0.5468261773112296,0.6452751278267056,147,147,529,531,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,micro,shared_other_foreground_fraction,0.19031126928102357,0.16340804885615132,0.21684499231906634,147,147,529,531,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,stability_spearman,0.12363701384571944,0.1101795861519533,0.13294326593467143,147,147,531,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,top10_jaccard,0.05699795796857357,0.054553682091314004,0.059421339909078705,147,147,531,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,top20_jaccard,0.12733870242154172,0.12389859211494617,0.13012103592911867,147,147,531,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,shared_target_either_fraction,0.20332504807192248,0.1703457912342335,0.25255036735631453,147,147,529,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,shared_background_fraction,0.6332836525619006,0.5714840632112889,0.6861376576990154,147,147,529,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,3plus_labels,macro_class,shared_other_foreground_fraction,0.16314620132696123,0.12844440153023004,0.19782115156304214,147,147,529,531,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.23742140341059392,0.17616114656928245,0.29828053624742124,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.07090801162100697,0.06014741946401074,0.08331501889860855,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.13995943417992754,0.12700771115927068,0.15210018232275238,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.1688406622617149,0.06975294612794612,0.30103835978835947,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.8311593377382852,0.6989616402116402,0.9302470538720539,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_other_foreground_fraction,0.0,0.0,0.0,17,17,19,19,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.1284197628451404,0.10633781063273984,0.15204701988441366,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.0595004161705731,0.055153153938020005,0.06394152486526014,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.13050836145179245,0.12348777986674783,0.1383932594252314,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.17157838016046972,0.12347944455349145,0.22079135854600437,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.7262884710645904,0.6360815573765769,0.8159215837360246,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_other_foreground_fraction,0.10213314877493981,0.04155794977135438,0.16678900853237327,50,50,67,67,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.17672453348366032,0.09745808802870246,0.28855276868961294,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.06898221209287043,0.055287942577819445,0.08477394102877042,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.14291059809228038,0.12811689480176416,0.16310744974380534,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.2665013227513227,0.12881547619047617,0.46051587301587305,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.5926256613756614,0.401521164021164,0.7646676587301584,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_other_foreground_fraction,0.14087301587301584,0.03333333333333333,0.24761904761904763,9,9,12,12,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.1278380677172117,0.09113251848468322,0.1678003534326941,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.05877379727774285,0.05131684682773125,0.06528590292637271,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.1299862039487862,0.12072798487893562,0.1399128903721718,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.14865655178155177,0.0735796898259843,0.23844018259408575,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.7638434482184482,0.6110546016483517,0.9064372234907949,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_other_foreground_fraction,0.08750000000000001,0.0,0.2025862068965517,21,21,24,24,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.10054889087528866,0.08401513859750083,0.11889341989156968,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.062467401143691106,0.05820950805658197,0.06715477604045375,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.12310138251939809,0.11882116024792837,0.12757560029060833,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.26942529741015475,0.20644388328986726,0.3412196841388041,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.49865307636128847,0.4313447191536178,0.563588587938469,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_other_foreground_fraction,0.23102153621955607,0.18187138130424896,0.276550345664929,59,59,101,101,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,stability_spearman,0.10987643288407067,0.08910202218009247,0.13180941897144824,38,38,51,51,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top10_jaccard,0.05959284226302158,0.05511320069398739,0.06425827391910517,38,38,51,51,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,top20_jaccard,0.12822074543348091,0.12270868560135999,0.133533815189904,38,38,51,51,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_target_either_fraction,0.4674960116136586,0.37299059789460115,0.5636604891310859,38,38,51,51,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,per_class,all,micro,shared_background_fraction,0.5153683462506992,0.4234315562691152,0.605541636297376,38,38,51,51,,5000,5000,1.0,3021694564,20260901
