class_id,class_name,positive_images,class_token_ap_fraction,class_token_ap_percent,patch_last_mct_ap_fraction,patch_last_mct_ap_percent
0,aeroplane,90,0.9979955227261125,99.79955227261125,0.9973779655371727,99.73779655371727
1,bicycle,79,0.9378366115107468,93.78366115107468,0.9605846024389914,96.05846024389913
2,bird,103,0.9568589531581168,95.68589531581168,0.9534524337006927,95.34524337006927
3,boat,72,0.9591555363871702,95.91555363871703,0.9677872909990162,96.77872909990161
4,bottle,96,0.7867824157274987,78.67824157274987,0.8048328014099674,80.48328014099674
5,bus,74,0.9436007876479209,94.36007876479209,0.9507621775610141,95.07621775610141
6,car,127,0.8923338792010448,89.23338792010448,0.885309604965192,88.5309604965192
7,cat,119,0.9801837232245686,98.01837232245686,0.9748954717900443,97.48954717900443
8,chair,123,0.7041499614844864,70.41499614844864,0.7175487641510822,71.75487641510821
9,cow,71,0.7826327424901353,78.26327424901352,0.8852744376415757,88.52744376415757
10,diningtable,75,0.7469063733711343,74.69063733711343,0.7640665232146624,76.40665232146624
11,dog,128,0.9616919703861454,96.16919703861454,0.9727665833326007,97.27665833326007
12,horse,79,0.9143918284253272,91.43918284253272,0.9376023722709481,93.7602372270948
13,motorbike,76,0.9740028969810529,97.4002896981053,0.9737911794614604,97.37911794614604
14,person,445,0.9622393076730577,96.22393076730576,0.9605735415147109,96.05735415147109
15,pottedplant,85,0.731230038360083,73.12300383600831,0.7311459460078555,73.11459460078555
16,sheep,57,0.9339587449749477,93.39587449749477,0.9428249505408851,94.28249505408851
17,sofa,90,0.725586537401398,72.5586537401398,0.7416348252209557,74.16348252209556
18,train,84,0.9890989580404819,98.90989580404819,0.9944537993204746,99.44537993204746
19,tvmonitor,74,0.8948371034383755,89.48371034383756,0.913692725732082,91.3692725732082
