section,transform,kind,metric,count,finite_count,mean,std,median,q05,q95,min,max
mct_vote_comparison,identity,identity,vote_spearman,1449,1449,1.0,1.3827091120113508e-16,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000002
mct_vote_comparison,identity,identity,top10_jaccard,1449,1449,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mct_vote_comparison,identity,identity,normalized_l1,1449,1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mct_vote_comparison,identity,identity,vote_entropy_nats,1449,1449,5.333350645935353,0.2359831540782223,5.409546198237108,4.824715628894816,5.57764485962545,4.305926705628668,5.646842348236161
mct_vote_comparison,identity,identity,vote_entropy_normalized,1449,1449,0.8002736071044647,0.03540946441876921,0.8117068117695874,0.7239525086413644,0.8369301527852778,0.646107808281291,0.8473132922953843
mct_union_gt_vote_composition,identity,identity,foreground_vote,1449,1449,137.48930296756384,80.19458416167915,125.0,25.0,275.0,0.0,384.0
mct_union_gt_vote_composition,identity,identity,foreground_vote_fraction_all,1449,1449,0.3580450598113642,0.20884006292103943,0.3255208333333333,0.06510416666666667,0.7161458333333334,0.0,1.0
mct_union_gt_vote_composition,identity,identity,foreground_patch_count,1449,1449,276.0282953761215,187.40664681553315,248.0,21.400000000000006,603.3999999999996,0.0,784.0
mct_union_gt_vote_composition,identity,identity,background_vote,1449,1449,229.10697032436164,82.94158739506419,239.0,84.0,347.0,0.0,384.0
mct_union_gt_vote_composition,identity,identity,background_vote_fraction_all,1449,1449,0.5966327352196917,0.2159937171746463,0.6223958333333334,0.21875,0.9036458333333334,0.0,1.0
mct_union_gt_vote_composition,identity,identity,background_patch_count,1449,1449,480.968253968254,193.88399757678647,508.0,135.20000000000002,750.5999999999999,0.0,784.0
mct_union_gt_vote_composition,identity,identity,mixed_vote,1449,1449,0.18633540372670807,0.6677710103271027,0.0,0.0,1.0,0.0,10.0
mct_union_gt_vote_composition,identity,identity,mixed_vote_fraction_all,1449,1449,0.00048524844720496894,0.0017389870060601634,0.0,0.0,0.0026041666666666665,0.0,0.026041666666666668
mct_union_gt_vote_composition,identity,identity,mixed_patch_count,1449,1449,0.3636991028295376,0.9494584720046207,0.0,0.0,2.0,0.0,9.0
mct_union_gt_vote_composition,identity,identity,void_vote,1449,1449,17.217391304347824,28.911712170823968,8.0,0.0,66.0,0.0,328.0
mct_union_gt_vote_composition,identity,identity,void_vote_fraction_all,1449,1449,0.04483695652173913,0.07529091711152075,0.020833333333333332,0.0,0.171875,0.0,0.8541666666666666
mct_union_gt_vote_composition,identity,identity,void_patch_count,1449,1449,26.63975155279503,52.62366355247502,10.0,0.0,110.59999999999991,0.0,668.0
