section,transform,kind,metric,count,finite_count,mean,std,median,q05,q95,min,max
official_last_vote_comparison,identity,identity,vote_spearman,1449,1449,1.0,1.2717529372515974e-16,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,1.0000000000000002
official_last_vote_comparison,identity,identity,top10_jaccard,1449,1449,1.0,0.0,1.0,1.0,1.0,1.0,1.0
official_last_vote_comparison,identity,identity,normalized_l1,1449,1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
official_last_vote_comparison,identity,identity,vote_entropy_nats,1449,1449,4.531126011253145,0.3046658132514538,4.619804860048734,3.8720756316874843,4.865232243607002,3.2028544062452178,4.9622496569072165
official_last_vote_comparison,identity,identity,vote_entropy_normalized,1449,1449,0.8584743424110697,0.05772246965469869,0.875275578178183,0.7336096090515746,0.9217746407040526,0.6068178910520587,0.9401557141675756
official_last_vote_comparison,permutation,permutation,vote_spearman,1449,1449,0.625771242569082,0.11991484928236887,0.6203510564143917,0.4351891375572846,0.8182201192209859,0.23052021450939922,0.9048802164551506
official_last_vote_comparison,permutation,permutation,top10_jaccard,1449,1449,0.4298720387637244,0.13976800827895194,0.42857142857142855,0.21212121212121213,0.6666666666666666,0.08108108108108109,0.9047619047619048
official_last_vote_comparison,permutation,permutation,normalized_l1,1449,1449,0.5745503364389234,0.07632752873207777,0.5859375,0.43229166666666663,0.6822916666666666,0.2526041666666667,0.7473958333333334
official_last_vote_comparison,permutation,permutation,vote_entropy_nats,1449,1449,4.552111268513771,0.31747431882798627,4.63856886518991,3.8867224420334314,4.898618811468234,3.1429283608856817,4.993044239669347
official_last_vote_comparison,permutation,permutation,vote_entropy_normalized,1449,1449,0.862450242635959,0.060149189497575264,0.8788306364428535,0.7363846170405224,0.9281001129638952,0.5954642071651929,0.9459901048070961
official_last_channel_correspondence,permutation,permutation,per_channel_selected_index_agreement,1449,1449,0.14731154388083734,0.030067577803333592,0.14192708333333334,0.109375,0.2078124999999999,0.08072916666666667,0.3098958333333333
official_last_vote_comparison,signed_permutation,signed_permutation,vote_spearman,1449,1449,0.4987499105306295,0.10252773925409998,0.4994384579408518,0.326460449070349,0.6638781994382107,0.07159031805217418,0.798825392825175
official_last_vote_comparison,signed_permutation,signed_permutation,top10_jaccard,1449,1449,0.35306805295341387,0.11948416951373018,0.3333333333333333,0.17647058823529413,0.5384615384615384,0.05263157894736842,0.8181818181818182
official_last_vote_comparison,signed_permutation,signed_permutation,normalized_l1,1449,1449,0.6978196169772257,0.07470444773707219,0.6901041666666666,0.5859375,0.8296874999999997,0.5052083333333333,0.9895833333333335
official_last_vote_comparison,signed_permutation,signed_permutation,vote_entropy_nats,1449,1449,4.779933004297179,0.16211266305488956,4.819255240321585,4.4546565600435635,4.95559110805447,3.771849506803766,5.051561346704233
official_last_vote_comparison,signed_permutation,signed_permutation,vote_entropy_normalized,1449,1449,0.9056137111265473,0.03071412303849488,0.9130637645193127,0.84398631853386,0.9388941749092153,0.7146206079868781,0.9570768489975713
official_last_channel_correspondence,signed_permutation,signed_permutation,per_channel_selected_index_agreement,1449,1449,0.07523238008971704,0.014086258213263758,0.07421875,0.053385416666666664,0.10026041666666667,0.0390625,0.14713541666666666
official_last_vote_comparison,haar_00,haar,vote_spearman,1449,1449,0.48022400558519784,0.10260471818043297,0.48051099769257555,0.30567900906436984,0.6487708489020044,0.1613445543190228,0.7640144326110356
official_last_vote_comparison,haar_00,haar,top10_jaccard,1449,1449,0.3549503169246933,0.12393494226420618,0.3333333333333333,0.17647058823529413,0.6,0.08108108108108109,0.8181818181818182
official_last_vote_comparison,haar_00,haar,normalized_l1,1449,1449,0.6959828617437313,0.0742159412844066,0.6875,0.5843750000000001,0.8281250000000001,0.4713541666666667,0.9791666666666666
official_last_vote_comparison,haar_00,haar,vote_entropy_nats,1449,1449,4.720652392913645,0.207398688685817,4.770449199072832,4.290895452865872,4.945916348853499,3.419739433443913,5.034164555295856
official_last_vote_comparison,haar_00,haar,vote_entropy_normalized,1449,1449,0.8943823121875599,0.039294085497576736,0.9038168943014785,0.8129598786494401,0.9370611796399574,0.6479092733355793,0.953780825221742
official_last_vote_comparison,haar_01,haar,vote_spearman,1449,1449,0.4865510841912346,0.10169458982460317,0.48779911684384003,0.32046282075529,0.654696957528654,0.1417428041772618,0.7620003975312369
official_last_vote_comparison,haar_01,haar,top10_jaccard,1449,1449,0.35667476195869247,0.12040682383349774,0.3333333333333333,0.17647058823529413,0.6,0.05263157894736842,0.8181818181818182
